cell_eci,n_val,los_frac,n_nlos,mae_ols_loto,mae_F_loto,seen_in_train
30827264,47,1.0,0,4.773859923238828,4.773859923238828,1
26607105,66,1.0,0,3.1663543844624007,3.1663543844624007,1
26681600,41,1.0,0,1.1202021527960413,1.1202021527960413,1
26722816,45,1.0,0,3.3292186660674434,3.3292186660674434,1
26349056,3,1.0,0,2.549515239454055,2.549515239454055,1
26349058,73,1.0,0,2.776051016292985,2.776051016292985,1
26369024,126,1.0,0,1.3314543157003942,1.3314543157003942,1
26369025,34,1.0,0,3.262467477659866,3.262467477659866,1
26358784,170,1.0,0,2.988356531705537,2.988356531705537,1
26358785,28,1.0,0,3.459139296862545,3.459139296862545,1
26359553,40,1.0,0,2.3362851167232455,2.3362851167232455,1
26359554,40,1.0,0,3.490700096192809,3.490700096192809,1
26359552,3,1.0,0,4.367756551106773,4.367756551106773,1
26720002,28,1.0,0,1.8586361990666522,1.8586361990666522,1
26795520,71,1.0,0,1.5668560687120847,1.5668560687120847,1
26367744,28,1.0,0,0.9340765938735532,0.9340765938735532,1
26351361,19,1.0,0,3.0278424866906155,3.0278424866906155,1
26351360,22,1.0,0,1.8534654833650919,1.8534654833650919,1
26351362,16,1.0,0,2.36173723449098,2.36173723449098,1
26368257,6,1.0,0,1.1968955453501569,1.1968955453501569,1
26368258,92,1.0,0,3.06411323935231,3.06411323935231,1
28650241,129,0.7984496124031008,26,4.810771089137428,12.962898449220472,1
26947072,95,0.0,95,59.66562488416407,6.7606718230396545,1
28792066,40,0.0,40,4.479447905927833,4.4531678455021835,1
34768897,3,0.0,3,2.1249435654758386,2.2885887322830993,1
26366722,8,0.0,8,3.5978461924009926,2.7518159325329155,1
26917120,14,0.0,14,24.789541995021903,1.1479365859442499,1
40782336,159,0.012578616352201259,157,5.551470090890806,6.1621652690642845,1
26947073,17,1.0,0,1.5402669051075346,1.5402669051075346,1
26947074,71,0.7464788732394366,18,4.6703160196011835,17.66805603471674,1
34210561,7,1.0,0,5.742123520225518,5.742123520225518,1
34210562,24,1.0,0,4.904289336980777,4.904289336980777,1
40812800,36,1.0,0,5.049229231525099,5.049229231525099,1
26356993,160,1.0,0,2.5148222468897194,2.5148222468897194,1
26353920,49,1.0,0,1.1447778580435806,1.1447778580435806,1
26365186,82,1.0,0,1.8185122517876622,1.8185122517876622,1
26365185,121,1.0,0,3.4232651093933097,3.4232651093933097,1
26363650,33,1.0,0,2.5101047444646754,2.5101047444646754,1
26363649,12,1.0,0,1.923920930809647,1.923920930809647,1
29127682,114,1.0,0,1.3464765482178216,1.3464765482178216,1
29127680,33,1.0,0,2.31489065857182,2.31489065857182,1
29127681,101,1.0,0,2.158985598369027,2.158985598369027,1
26357760,2,1.0,0,2.677236515100269,2.677236515100269,1
26367489,14,1.0,0,3.4185828800009026,3.4185828800009026,1
33802242,81,1.0,0,3.718756435750263,3.718756435750263,1
33802241,39,1.0,0,2.8746066001275143,2.8746066001275143,1
30829824,92,1.0,0,1.4586583293873923,1.4586583293873923,1
30829312,31,1.0,0,3.3871546107017245,3.3871546107017245,1
34006273,33,1.0,0,3.4020248669967907,3.4020248669967907,1
