cell_id,n_rows,n_los,n_nlos,los_fraction,rsrp_mae,rsrp_rmse,rsrp_bias,snr_mae_thermal,snr_mae_measured,rsrp_mae_los,rsrp_mae_nlos
30827264,42,42,0,1.0,4.491510130175117,4.83229975819258,-34.77044300624303,4.491510130175117,4.725679447034841,4.491510130175117,
26607105,66,66,0,1.0,3.1663543844624007,3.8395979091221952,-35.39718554846623,3.1663543844624016,5.835099389145009,3.1663543844624007,
26681600,41,41,0,1.0,1.1202021527960457,1.826969925287098,-23.580282292154788,1.1202021527960435,1.2013198201440256,1.1202021527960457,
26722816,45,45,0,1.0,3.32921866606744,4.254536109547282,-31.352357851429744,3.32921866606744,3.186656248072377,3.32921866606744,
26349056,3,3,0,1.0,2.5495152394540526,2.7627834366400545,-34.155180757130296,2.5495152394540526,,,
26349058,73,73,0,1.0,2.776051016292985,3.598941791929952,-35.917091731237306,2.776051016292985,3.248407289234183,2.776051016292985,
26369024,116,116,0,1.0,1.4194754067843498,1.9070956601767444,-33.65340040774435,1.419475406784348,1.7282565669915668,1.4194754067843498,
26369025,34,34,0,1.0,3.2624646793352277,3.926212472381205,-36.254956279081455,3.2624646793352277,2.9878701558994023,3.2624646793352277,
26358784,170,170,0,1.0,2.9883606447147653,3.7753775391463607,-22.110294222407386,2.988360644714766,2.7931866468974476,2.9883606447147653,
26358785,28,28,0,1.0,3.4591512859110938,4.529547412429165,-19.133491636003765,3.459151285911092,3.1742648643594693,3.4591512859110938,
26359553,40,40,0,1.0,2.3363026261836914,2.7264728325852308,-35.717274570059274,2.3363026261836914,1.1500798182798389,2.3363026261836914,
26359554,40,40,0,1.0,3.4906594792036727,4.351003336595143,-28.355651733821208,3.4906594792036736,3.457841085638016,3.4906594792036727,
26359552,3,3,0,1.0,4.367843017578124,4.932450618384652,-29.228029174804686,4.367843017578125,,,
26720002,28,28,0,1.0,1.8586312360676591,2.153433577343149,-43.296196366979714,1.8586312360676591,2.123410572480254,1.8586312360676591,
26795520,71,71,0,1.0,1.5668403165323006,1.853366050094929,-36.93413847029619,1.5668403165323006,2.6163457256301434,1.5668403165323006,
26367744,28,28,0,1.0,0.9340813427823937,1.1543085376967879,-35.35252607907935,0.9340813427823943,1.3318451193011211,0.9340813427823937,
26351361,19,19,0,1.0,3.027828495944967,3.4180425172964273,-37.31816417493319,3.027828495944967,1.814470952569281,3.027828495944967,
26351360,22,22,0,1.0,1.853453692482635,2.321114051733022,-24.894506984327162,1.853453692482635,1.8566498391503778,1.853453692482635,
26351362,16,16,0,1.0,2.3617517184196615,3.181010397432511,-14.414155524233555,2.3617517184196624,2.917890768695111,2.3617517184196615,
26368257,6,6,0,1.0,1.1968701140350528,1.321264241173097,-31.233292655227288,1.1968701140350528,1.8056405031290037,1.1968701140350528,
26368258,92,92,0,1.0,3.064106817825061,4.120533604124823,-34.47113895299807,3.0641068178250586,2.368555792471975,3.064106817825061,
28650241,129,103,26,0.7984496124031008,3.2231374261064185,4.337379554421689,-31.77707594050917,3.22313742610642,2.783656101140593,2.4486042473680034,4.974662697696122
26947072,95,0,95,0.0,52.87764328155922,67.95800022085108,24.97038352303654,52.87764328155922,53.73399568680022,,52.87764328155922
28792066,40,0,40,0.0,4.4794479059278345,5.3122712813386235,169.46861050257732,4.4794479059278345,4.456456071800687,,4.4794479059278345
34768897,3,0,3,0.0,2.124538359855175,2.278075093243535,-52.51512513843989,2.1245383598551775,,,
26366722,8,0,8,0.0,3.588183802645741,4.276193608472442,-51.21332409787216,3.588183802645741,3.2810266115102076,,3.588183802645741
26917120,14,0,14,0.0,5.741496214447594,7.581350960732893,-22.532044863242103,5.741496214447594,5.169047355370681,,5.741496214447594
40782336,159,2,157,0.012578616352201259,5.502628334923195,6.827171364009466,-8.1567305531085,5.502628334923195,4.663084711983963,,5.393257441115572
26947073,17,17,0,1.0,1.5405055018818363,1.887146089282031,-31.46859857483956,1.5405055018818363,1.4372907154221763,1.5405055018818363,
26947074,71,53,18,0.7464788732394366,4.654149094974916,6.325166677551127,-29.551660654847055,4.654149094974916,4.423916361806228,3.8176881742765993,5.658886468204452
34210561,7,7,0,1.0,5.742123520225513,7.143398478514712,-55.29752438083291,5.742123520225513,2.704593472563849,5.742123520225513,
34210562,19,19,0,1.0,5.1666973671707055,5.864093106907204,-41.619785930208664,5.1666973671707055,2.516455822654228,5.1666973671707055,
40812800,31,31,0,1.0,4.943863607275477,5.675973805095616,-20.141928020933005,4.9438636072754765,3.7324243609898375,4.943863607275477,
26356993,159,159,0,1.0,2.517951174671747,3.108266029278191,-29.73011403588457,2.517951174671747,3.0694692523029197,2.517951174671747,
26353920,49,49,0,1.0,1.1447778580435768,1.5091928538569273,-42.83150414653748,1.1447778580435768,4.917555079009105,1.1447778580435768,
26365186,82,82,0,1.0,1.818502142045652,2.599795069376655,-24.702868525205226,1.818502142045653,2.3779671213117615,1.818502142045652,
26365185,121,121,0,1.0,3.4232873550631777,3.8581730003347903,-22.333490076465335,3.423287355063178,2.8678651326332125,3.4232873550631777,
26363650,33,33,0,1.0,2.510097864698439,3.29646664285242,-20.454749713990665,2.510097864698439,3.034096114818541,2.510097864698439,
26363649,12,12,0,1.0,1.9239230500859048,2.453953926760193,-29.49035813534275,1.9239230500859061,1.8789671181146723,1.9239230500859048,
29127682,114,114,0,1.0,1.3465027403589724,2.031651643030131,-29.630959830037845,1.3465027403589724,1.5807095976100394,1.3465027403589724,
29127680,33,33,0,1.0,2.3147313170206547,2.6741192295822707,-32.45692323420094,2.3147313170206547,1.4645987733354349,2.3147313170206547,
29127681,101,101,0,1.0,2.1590229069384597,2.5459146410743205,-31.399101394199736,2.159022906938459,2.348052105333545,2.1590229069384597,
26357760,2,2,0,1.0,2.6772365151002617,2.6772365151002617,-38.53090190228919,2.6772365151002617,,,
26367489,14,14,0,1.0,3.418557033480656,4.222603803921345,-29.811896147829753,3.4185570334806537,2.6113649486919717,3.418557033480656,
33802242,81,81,0,1.0,3.718766622230385,4.6108429804326985,-26.584627204682626,3.7187666222303877,3.345471740202506,3.718766622230385,
33802241,39,39,0,1.0,2.8746496979301517,3.645858910303268,-34.18514543582232,2.8746496979301517,1.5427482844915614,2.8746496979301517,
30829824,92,92,0,1.0,1.458647265683652,2.8740863846821663,-37.478542167553,1.458647265683652,2.6599180637695765,1.458647265683652,
30829312,31,31,0,1.0,3.387155738042021,4.475222654581506,-27.72301285488303,3.3871557380420203,3.516288063836026,3.387155738042021,
34006273,33,33,0,1.0,3.4020248669967903,3.9654015821201605,-25.509554233743685,3.4020248669967903,2.6117761905794037,3.4020248669967903,
