cell_eci,iteration,var_loss
26947072,0,1818.926833769497
26947072,1,3362.911189038876
26947072,2,2068.0834812343555
26947072,3,3562.0662013657084
26947072,4,4341.2500265126655
26947072,5,2849.8605328216368
26947072,6,2478.083555947394
26947072,7,6594.842721787002
26947072,8,4019.699208632004
26947072,9,2761.698964220448
26947072,10,1990.6785552641186
26947072,11,2280.6537172747962
26947072,12,2341.832484638182
26947072,13,2269.782966276856
26947072,14,2237.5163039259837
26947072,15,2720.2353103797627
26947072,16,1807.0229275432387
26947072,17,2032.1357465128406
26947072,18,1822.1901584261952
26947072,19,1998.3828778830057
26947072,20,1823.8262426377594
26947072,21,1818.6859274838848
26947072,22,1822.4539007184055
26947072,23,1785.397399725188
26947072,24,2007.2840834327
26947072,25,2054.9672588172552
26947072,26,1798.0805192638074
26947072,27,2017.785984466758
26947072,28,1798.9672661298837
26947072,29,1782.228268147548
26947072,30,2017.7859479109468
26947072,31,2009.5297460904958
26947072,32,1786.446770285859
26947072,33,1793.161222334313
26947072,34,1780.2708226101695
26947072,35,1796.2320460264236
26947072,36,1784.6035476177012
26947072,37,1782.8750431210897
26947072,38,1780.5662992379675
26947072,39,1777.8484217328019
26947072,40,2056.564291567907
26947072,41,2056.1890597073743
26947072,42,1777.5332646997142
26947072,43,1779.9626868304113
26947072,44,1779.9440882506633
26947072,45,1780.039657383476
26947072,46,1779.9585261012537
26947072,47,1779.9506554701113
26947072,48,1771.7330697969055
26947072,49,1781.4847101635655
26947072,50,1771.7205512407486
26947072,51,1780.0565019349729
26947072,52,1771.8056404446813
26947072,53,1779.9454030081001
26947072,54,1771.7641738345067
28650241,0,45.523167235860996
28650241,1,407.31340836146575
28650241,2,1861.3372155145453
28650241,3,38.94350255824511
28650241,4,632.2824686002068
28650241,5,35.697750524488384
28650241,6,222.81264588145635
28650241,7,157.204167661246
28650241,8,40.420277467927406
28650241,9,64.06982553479861
28650241,10,33.09344081737445
28650241,11,71.84684406657851
28650241,12,22.848370030210504
28650241,13,26.50929982894892
28650241,14,30.356357750314928
28650241,15,24.94678890731396
28650241,16,37.47462462550542
28650241,17,20.455581369105197
28650241,18,28.623925434454673
28650241,19,19.265463713933013
28650241,20,26.78368322442754
28650241,21,22.32192416013296
28650241,22,25.141072845193122
28650241,23,20.76890815942366
28650241,24,25.49692345338049
28650241,25,20.352505439723842
28650241,26,22.066514783767683
28650241,27,18.751426412477695
28650241,28,18.90354761953457
28650241,29,18.79905428444602
28650241,30,18.608879732580494
28650241,31,18.991328621929924
28650241,32,19.970893342234742
28650241,33,19.293532227219423
28650241,34,22.51860844478845
28650241,35,20.455581369105197
28650241,36,18.673113546626777
28650241,37,18.68495382269231
28650241,38,18.99549627369055
28650241,39,18.61406128087349
28650241,40,18.58393606750231
26368258,0,16.169577076595896
26368258,1,43.28440859447034
26368258,2,39.15733036991427
26368258,3,42.358386814007574
26368258,4,32.69825308875567
26368258,5,34.57423516757644
26368258,6,23.278330788776117
26368258,7,25.365935592512102
26368258,8,18.853734236934073
26368258,9,21.84681697748871
26368258,10,18.14505074547042
26368258,11,19.949156105782325
26368258,12,16.981492648900513
26368258,13,17.051396532243565
26368258,14,16.07681148914825
26368258,15,18.85830839019636
26368258,16,16.081981946032187
26368258,17,16.715474419918927
26368258,18,15.972936316730914
26368258,19,16.53101906067613
26368258,20,15.971891166570238
26368258,21,16.007458758531968
26368258,22,15.92028398165471
26368258,23,16.036120406521274
26368258,24,15.93883012277764
26368258,25,15.959244292354203
26368258,26,15.930086543325363
26947074,0,42.44898255635539
26947074,1,118.71834059157285
26947074,2,121.84889929894342
26947074,3,36.85512013910738
26947074,4,75.67786197597206
26947074,5,34.19244768405995
26947074,6,68.47484334113204
26947074,7,58.7000050263368
26947074,8,36.34010837014261
26947074,9,53.80578656694385
26947074,10,35.55178423901349
26947074,11,34.56068793862369
26947074,12,56.43312645960732
26947074,13,36.752155268639456
26947074,14,39.65772959637859
26947074,15,37.758951116496384
26947074,16,37.17614306888358
26947074,17,34.178811648944645
26947074,18,38.46329895376955
26947074,19,36.82308273387092
26947074,20,37.309936771603276
26947074,21,33.339379853281
26947074,22,34.08805029012843
26947074,23,36.7393996552938
26947074,24,32.93749625601603
