_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,wcl_lat,wcl_lon
12942,26347520.0,train,-97.09375,-58.643531799316406,181.98058316182247,1800.0,Highway,52.50098761251361,13.280225249011746
12955,26347520.0,train,-92.93028846153848,-56.09412384033203,134.3595292330988,1800.0,Highway,52.50098761251361,13.280225249011746
12958,26347520.0,train,-95.5625,-55.04894256591797,118.39403942864101,1800.0,Highway,52.50098761251361,13.280225249011746
12962,26347520.0,train,-94.0875,-53.840606689453125,102.07695354519082,1800.0,Highway,52.50098761251361,13.280225249011746
12971,26347520.0,train,-94.90322580645162,-50.82969665527344,69.29337673942092,1800.0,Highway,52.50098761251361,13.280225249011746
12974,26347520.0,train,-93.1775,-48.8924560546875,52.74689022407801,1800.0,Highway,52.50098761251361,13.280225249011746
12977,26347520.0,train,-89.4320652173913,-46.51689147949219,35.615419049817355,1800.0,Highway,52.50098761251361,13.280225249011746
12982,26347520.0,train,-83.78125,-43.919715881347656,18.24001807937538,1800.0,Highway,52.50098761251361,13.280225249011746
12984,26347520.0,train,-91.0,-42.68879699707031,7.112072705848495,1800.0,Highway,52.50098761251361,13.280225249011746
27506,26347520.0,train,-97.6296875,-61.09712219238281,242.70953049801423,1800.0,Highway,52.50098761251361,13.280225249011746
27510,26347520.0,train,-94.889375,-60.58647918701172,228.64697184957382,1800.0,Highway,52.50098761251361,13.280225249011746
27515,26347520.0,train,-95.181875,-60.08190155029297,215.52978355514807,1800.0,Highway,52.50098761251361,13.280225249011746
27517,26347520.0,train,-91.265625,-59.54753875732422,202.49469060617838,1800.0,Highway,52.50098761251361,13.280225249011746
27527,26347520.0,train,-96.798125,-58.41790771484375,177.19793622364898,1800.0,Highway,52.50098761251361,13.280225249011746
27528,26347520.0,train,-98.91875,-57.82225799560547,165.15007862233082,1800.0,Highway,52.50098761251361,13.280225249011746
27539,26347520.0,train,-94.5525,-56.471092224121094,140.58735063351787,1800.0,Highway,52.50098761251361,13.280225249011746
27540,26347520.0,train,-96.10875,-55.71784210205078,128.41329369331413,1800.0,Highway,52.50098761251361,13.280225249011746
27544,26347520.0,train,-95.7175,-54.94502258300781,116.92087514658891,1800.0,Highway,52.50098761251361,13.280225249011746
27550,26347520.0,train,-95.74875,-54.09912109375,105.38952289509747,1800.0,Highway,52.50098761251361,13.280225249011746
27558,26347520.0,train,-95.798125,-52.34747314453125,84.56287552060174,1800.0,Highway,52.50098761251361,13.280225249011746
27567,26347520.0,train,-94.425625,-51.263038635253906,73.4337469322331,1800.0,Highway,52.50098761251361,13.280225249011746
27572,26347520.0,train,-92.041875,-51.51927185058594,75.95535271654937,1800.0,Highway,52.50098761251361,13.280225249011746
27583,26347520.0,train,-93.65375,-52.65191650390625,87.9234858476277,1800.0,Highway,52.50098761251361,13.280225249011746
27586,26347520.0,train,-94.559375,-53.265899658203125,94.99927376724112,1800.0,Highway,52.50098761251361,13.280225249011746
