cell_id,n_train,n_val,wcl_lat,wcl_lon,refined_lat,refined_lon,delta_m,dx_m,dy_m,n_nm_evals,wcl_opt_mae,refined_opt_mae,wcl_val_mae,refined_val_mae,val_mae_gain,wcl_spearman,refined_spearman,wcl_alpha,refined_alpha
26347520.0,540,143,52.50098761251361,13.280225249011746,52.500949013205314,13.280084003388383,10.490663282809207,-9.5703125,-4.296875,17,2.543440463018372,2.512920879053589,2.7032896320780093,2.683629063832844,0.019660568245165155,0.6766706543440115,0.6776596989310965,0.5862628902810381,0.5883406090157742
26347523.0,13,5,52.49878825141347,13.282027655307097,52.496902916448676,13.283444075065873,230.77756364805745,95.9716796875,-209.87548828125,24,22.23038505915662,2.38154719659876,28.401627478739993,6.425846481136657,21.975780997603337,0.09999999999999999,0.0,0.0,0.0
26349056.0,46,15,52.51081801064475,13.369188601134516,52.51092152697155,13.369930861298107,51.59624324991969,50.29296875,11.5234375,19,3.102787174481276,2.6251799415081765,3.8288708928931907,3.6076601759447633,0.22121071694842742,-0.03214285714285714,0.11785714285714284,0.411674944780976,0.8994937457005179
26349058.0,999,246,52.510007029585566,13.36337872603045,52.50982214767138,13.36312433978021,26.8453127991188,-17.236328125,-20.5810546875,20,2.4633438393047027,2.3833268188519168,2.3018559014765527,2.241707326138588,0.060148575337964694,0.5127249688291635,0.5227214743667575,0.3810646441113511,0.3691831877220088
26349061.0,55,12,52.50999083696261,13.36323228101177,52.509853984869544,13.363359113816422,17.491104044717275,8.59375,-15.234375,22,2.080902766496746,2.0679040838995055,2.136043266852512,2.131258703400827,0.004784563451685209,0.5874125874125874,0.5734265734265735,0.5683501342946407,0.5551044054742861
26351360.0,449,123,52.4997799254176,13.320541453889705,52.4997799254176,13.320541453889705,0.0,0.0,0.0,14,1.43245918207086,1.4324590294715025,1.5578714085450507,1.557871545290022,-1.3674497134630315e-07,0.9013908657783664,0.9013908657783664,1.2191337852412645,1.2191337716565191
26351361.0,359,99,52.49991945667663,13.32286995138966,52.50008723207918,13.322602233282112,26.035900749213113,-18.1396484375,18.6767578125,21,1.8335445812566737,1.5842129083296408,1.6998228449238795,1.7137088045641826,-0.013885959640303147,0.8946159166159414,0.8629955287062621,1.051378897474823,1.0929923997621496
26351362.0,313,78,52.49959673233878,13.317166208574271,52.50020203967349,13.317160443446786,67.3839447368643,-0.390625,67.3828125,23,1.9834481011558607,1.8977230038367001,1.738955222813103,1.6800676434956272,0.0588875793174759,0.7020607962377915,0.660136714679809,0.6415703257769964,1.8051065668798758
26351365.0,62,14,52.49955067065489,13.317034410370823,52.49975326219491,13.316766602183158,28.946210973388546,-18.145751953125,22.552490234375,19,1.1325793875927306,1.0230033819879314,1.3642321067009533,1.2966031079765798,0.06762899872437345,-0.6585932777285565,-0.46978155305552316,0.48266734389151383,0.5158124852410708
26353664.0,22,7,52.5037069550815,13.337969466661779,52.50340978427044,13.338515892651142,49.6500479304187,37.02392578125,-33.0810546875,23,0.7447811306734677,0.632280004659941,1.108125070527598,1.1237348254985449,-0.015609754970946854,0.7857142857142859,0.5714285714285715,0.43898214749240716,0.45018951699343746
26353920.0,642,170,52.51052222023984,13.290190910036774,52.50996631344033,13.290426739782925,63.91323570226807,15.97900390625,-61.883544921875,25,1.7713499911599853,1.184526137828305,1.7479107931933042,1.138789252765073,0.6091215404282313,0.8332232098003285,0.8921556200097273,1.4671157424261871,1.8668630385263
26356992.0,32,6,52.513007571208334,13.287213377688401,52.513007571208334,13.287213377688401,0.0,0.0,0.0,17,2.240806772599077,2.240806772599077,2.2753675942297895,2.2753675942297895,0.0,0.0,0.0,-95.68049143218816,-95.68049143218816
26356993.0,1507,364,52.5123180787885,13.287222712214367,52.512937422235325,13.287574384990904,72.94680018162744,23.828125,68.9453125,27,2.733453176378766,2.5346682567265306,2.7684290292914833,2.555881058324567,0.21254797096691647,0.5178771863638467,0.5539681089986715,0.41479279216759446,0.2813285634090181
26356994.0,202,46,52.50310612653134,13.28160575769905,52.503218415428215,13.281790241778543,17.67766952966369,12.5,12.5,15,3.6678244949444005,3.3780489581002344,2.9838400718337885,2.774559329943693,0.2092807418900957,0.6775417068194067,0.6535508344406747,0.43239795187295854,0.48344192955581605
26356996.0,169,46,52.5126601658323,13.286913035717944,52.512604021383865,13.286682430618576,16.828640022295325,-15.625,-6.25,19,2.17467542882442,1.984895200632884,2.217868036385279,2.1050527610499903,0.11281527533528868,0.820593553659349,0.7786328344467497,0.6778172176020271,0.6816358578137981
26357760.0,63,18,52.51299443865698,13.328588249210709,52.51344359424448,13.328588249210709,50.0,0.0,50.0,18,42.958465008984035,5.74317142575118,43.72187562450244,5.01545886024399,38.70641676425845,0.797109037562556,0.0,2.0,-96.01563417224533
