cell_id,n_train,n_val,scatter_s,wcl_lat,wcl_lon,refined_lat,refined_lon,delta_m,dx_m,dy_m,n_nm_evals,wcl_opt_mae,refined_opt_mae,wcl_val_mae,refined_val_mae,val_mae_gain,wcl_spearman,refined_spearman,wcl_alpha,refined_alpha
26347520.0,464,51,0.4,52.500889784057115,13.280354443627312,52.50088155977268,13.28016842818583,12.636967616748153,-12.603759765625,-0.91552734375,19,2.081565837511787,2.0631282521793795,2.6928605988586605,2.70015510592218,-0.007294507063519529,0.5476923076923077,0.5466968325791856,0.34475303529704193,0.33798985821058997
26349058.0,710,68,0.4,52.51001811220519,13.363237036838427,52.50987424205607,13.36329468811327,16.485115504694683,3.90625,-16.015625,17,2.0630088617820665,2.041321738670787,2.581387963879944,2.570428064210183,0.010959899669761075,0.5736534717715768,0.5724319578577699,0.344662021332875,0.33726521011143257
26351360.0,331,50,0.4,52.499812347181035,13.320654821894948,52.499461334721175,13.320717337496104,39.30362666166976,4.23583984375,-39.07470703125,32,2.093876639303646,1.8748309934654226,1.8171186663375847,1.972362959123846,-0.1552442927862614,0.7676680462897809,0.7428681279678634,1.118164790482359,1.8743780351870603
26351361.0,285,63,0.4,52.499969080178964,13.32325435756781,52.5001528655219,13.323011501572537,26.255278283734636,-16.455078125,20.458984375,22,2.7049505600734953,2.195278535659637,4.238514087277214,3.0813376058016697,1.1571764814755445,0.6230402094389343,0.7879058284977185,1.1645022045804714,1.2965579242935008
26351362.0,206,18,0.4,52.49961399432862,13.31711266009894,52.4997271604825,13.319075686007313,133.60306556747986,133.0078125,12.59765625,28,2.6498459995297066,1.4082232367390304,3.234475410967297,1.018370473531095,2.216104937436202,0.16202270381836945,-0.04231166150670795,0.0,0.03289109891910137
26356994.0,272,20,0.4,52.50325760255482,13.28168618644737,52.50316110428407,13.2818490512988,15.400300833005513,11.03515625,-10.7421875,16,2.9828101217392216,2.9606041463151933,3.1269315547525216,3.0867813505131267,0.04015020423939486,0.6300751879699248,0.6165413533834586,0.3120532646944488,0.30912512959533756
26358784.0,1042,91,0.4,52.505558217967334,13.341395845663152,52.50571682329274,13.341311327993433,18.56142787474235,-5.72662353515625,17.65594482421875,29,2.3296436189066707,1.979466082892185,4.122892909115796,3.804785177012445,0.3181077321033512,-0.36619845690106984,0.25830630236989965,0.7706065457988943,0.8371435743431016
26358785.0,656,85,0.4,52.50418799089777,13.340389516036893,52.50489418278826,13.339957852116514,83.87786498769385,-29.248046875,78.61328125,18,2.441880578640553,1.5710457053524263,3.1340997733593134,2.7636338661635613,0.3704659071957521,0.5596250972866439,0.827615456861202,0.7582506298700911,1.757968233330591
26359553.0,367,38,0.4,52.50379306936517,13.337939633312395,52.503812807647826,13.337670113602508,18.393432195512293,-18.26171875,2.197265625,18,1.3129190824015842,0.8623001921055353,1.2854266255394944,0.8704738919213778,0.4149527336181166,0.46294655630101383,0.7063707507871524,0.4159013671296216,0.544262628426407
26359554.0,967,48,0.4,52.50438208255231,13.335774306630224,52.50428725655273,13.335773495909171,10.556173199548724,-0.054931640625,-10.5560302734375,27,1.609428079502346,1.440648412790484,1.9393291103230261,2.133928171306455,-0.19459906098342872,0.9287861501263832,0.9236760595140402,1.551405729867281,1.7725629963083565
26367489.0,613,57,0.4,52.514513227173495,13.32831144238225,52.515116779994194,13.328715001306144,72.53854713400662,27.34375,67.1875,23,4.1245251395176386,3.574952223510359,4.473450106068244,4.699007117437843,-0.2255570113695997,-0.3446727849786848,-0.3434734721424398,1.2532892559540656,1.880315692691062
26367744.0,374,48,0.4,52.50030237293965,13.327781194340403,52.50061215432019,13.327979010277206,36.998037663178565,13.4033203125,34.48486328125,15,1.5568431660747897,1.0411096160099,1.315436198732569,1.3251564534880051,-0.009720254755436253,0.8943768996960486,0.9067520625271385,1.0484927885554334,1.2562816631147735
26368257.0,109,6,0.4,52.49926054064937,13.315958108071834,52.49946124060396,13.316190019332899,27.314381836302726,15.7135009765625,22.3419189453125,27,16.14296607761429,3.123903603119835,15.382207195403161,1.2658904262492499,14.116316769153912,0.942857142857143,0.942857142857143,2.0,2.0
26369024.0,1066,139,0.4,52.5094573132086,13.351656253361897,52.509819510695294,13.351936943006285,44.58019344319097,19.0185546875,40.31982421875,19,1.9295903214405274,1.8940480421413959,1.5290073980578545,1.3940039877614772,0.1350034102963773,0.7859970114408245,0.801337890828169,0.3622027565115261,0.31192493415940936
26369025.0,372,35,0.4,52.50668196579713,13.34585388272257,52.50687540096713,13.345838028621989,21.559981046962015,-1.07421875,21.533203125,17,1.9216763910512678,1.8261551506777975,2.3393144385435627,2.1995287798685754,0.13978565867498727,0.7647058823529412,0.7599439775910365,1.034558118068186,1.1721875922082858
26607105.0,668,120,0.4,52.51355460835214,13.377092737455685,52.51363882502479,13.37951409099905,164.33013884023222,164.0625,9.375,28,2.1619177766547466,1.6287601836355121,3.1399086215082272,2.243134810111092,0.8967738113971353,0.11898880175788566,0.5813528403417222,0.6328082331549166,1.95561237821939
26720002.0,422,76,0.4,52.50238377593411,13.333510722951116,52.50233651371287,13.333481356832994,5.624912049347681,-1.98974609375,-5.26123046875,17,1.6297278609774906,1.625610036441695,1.5874839396990772,1.5926058482453809,-0.005121908546303677,0.798596997833848,0.762116978355597,0.6984267233386411,0.724137937804273
26722816.0,625,90,0.4,52.511279957643346,13.372019554745693,52.51204975066684,13.37206999961118,85.76149690478168,3.41796875,85.693359375,30,3.085215725933363,1.9607632894472924,4.463070897032418,3.4727852408305515,0.9902856562018667,0.45459210392764665,0.41841599252183104,0.8791243998336216,1.9389983151668624
26795520.0,491,41,0.4,52.500593719619104,13.33123526063665,52.50079187004552,13.331115273920885,23.508615684796958,-8.1298828125,22.05810546875,16,1.5819658803274206,1.533141854993035,1.3650044475600178,1.4610548524349565,-0.09605040487493866,0.8822299651567945,0.8952961672473869,0.9720720011241205,1.326236140503679
26917120.0,79,50,0.4,52.4892006607083,13.304512620956803,52.48996979578904,13.3061992810664,142.79787034575764,114.2822265625,85.6201171875,32,3.5645095452658477,1.1504463124066462,18.696235824887882,13.696444498895199,4.999791325992684,0.15610073816760744,-0.13124185844550587,0.0,0.07443332046711004
26947073.0,417,18,0.4,52.489457774177666,13.298442388322558,52.48901388213221,13.298905039803165,58.518587859944724,31.34765625,-49.4140625,18,1.6194319714993983,1.288040648078724,1.8364226371748045,1.6727773624894284,0.16364527468537604,0.44272445820433437,0.7089783281733747,0.0693691581605668,0.2437492977873471
26947074.0,1020,72,0.4,52.49211551796319,13.294074115611952,52.491986999811694,13.296522853510869,166.53363720311543,165.91796875,-14.306640625,34,3.473666388881613,2.201793613585704,3.0811525454485302,2.1059297725280737,0.9752227729204566,-0.030612901151199436,0.5670461122901795,0.0,0.3360840969779747
26947081.0,25,23,0.4,52.495265239219805,13.304994483853617,52.493009153512496,13.308885134184402,364.10017846946056,263.616943359375,-251.1474609375,49,2.7770444200772126,0.7386450144854081,1.9695920586798124,,,-0.24382759997877945,0.0,0.136221624438164,-97.2475356855239
28650241.0,912,143,0.4,52.49876487174197,13.307699865071257,52.498540293948224,13.307515380991763,27.95084971874737,-12.5,-25.0,22,2.5677698964469844,2.3535460230560994,2.5711509876256358,2.4127589042436406,0.15839208338199517,0.8937059714528693,0.8981638982716744,0.513502511167377,0.5214098130930135
28650250.0,111,94,0.4,52.496820651416506,13.30559729769853,52.49749184726332,13.304152739163225,123.13757703518593,-97.87826538085938,74.71752166748047,34,2.1517132119180853,1.3779863105802321,2.7264882276798152,1.5013900282118273,1.225098199467988,0.037353197279799584,0.32962999788032493,0.020184543693118426,0.10042418643347518
28792066.0,559,94,0.4,52.49498187762741,13.30911187189431,52.49458807147419,13.31034202849128,94.17656776495438,83.35113525390625,-43.8385009765625,45,4.478427250922345,2.985881245278784,6.0903468983016245,3.4982980115472846,2.59204888675434,-0.20709709311742092,0.3992568748237348,0.021735570701567005,0.31627944320001544
28792072.0,158,9,0.4,52.49476048489596,13.304905384402048,52.49459972754946,13.30509527328856,22.040612145661772,12.8662109375,-17.8955078125,27,1.7420591598106487,1.5127985048461776,1.9513295900965772,,,0.4107919181288746,0.0,0.17984664628915475,-95.49477852584553
30827264.0,450,47,0.4,52.51604341421638,13.37655230837269,52.516787328158166,13.376506187352815,82.87144128860075,-3.125,82.8125,17,2.9027019374436884,2.800548421820497,4.002249615226148,3.64621224288004,0.3560373723461083,0.8913260164420783,0.8931807721012113,1.2056912963622162,1.882063142374718
30827265.0,324,49,0.4,52.51606779547009,13.375782379166358,52.51606779547009,13.375782379166358,0.0,0.0,0.0,18,2.1791821585510474,2.1791821585510474,2.402194034003896,2.402194034003896,0.0,0.8571405108139517,0.8571405108139517,0.7909830964746065,0.7909830964746065
30828289.0,211,14,0.4,52.51571301401693,13.370113431490296,52.51573626132761,13.370414659401346,20.573566925459886,20.41015625,2.587890625,23,3.5144129841315612,2.6391460206336617,3.1448179542732584,2.4101284600657045,0.7346894942075539,0.7098901098901099,0.832967032967033,1.2978321469582497,1.2873496426630382
30829312.0,221,23,0.4,52.51437364566383,13.351438845067891,52.51449459747365,13.350985201598977,33.556977927713746,-30.7373046875,13.46435546875,29,3.36021268546651,2.6224791533867333,4.031168961280821,3.1668707456551,0.8642982156257211,0.7658102766798419,0.9555335968379446,1.4451280785506544,1.9391748869190064
30829824.0,518,125,0.4,52.514319228437785,13.348406565136205,52.51437592117185,13.348624559019202,16.062287065749604,14.7705078125,6.31103515625,19,3.651812602024341,3.1807529048920142,3.7479046213616303,3.5667321323367824,0.18117248902484784,0.80971404270535,0.8422466783982164,1.2334106144732122,1.4135620368266795
33802241.0,250,45,0.4,52.51387239441551,13.341759016492459,52.514854045006146,13.341351854363888,112.70594290538821,-27.587890625,109.27734375,23,2.3165636746587706,1.2519395728172529,3.7102350758979368,1.919424064311984,1.7908110115859528,0.9269080014251387,0.9468691332255521,0.6452756589016095,1.8743066351974604
33802242.0,811,54,0.4,52.513338875774444,13.33396376859867,52.51291516064015,13.334105734862968,48.13881118561718,9.619140625,-47.16796875,21,5.236725255614619,5.13941793321994,5.97376559882582,5.788350271807091,0.18541532701872931,0.6259195730893844,0.6202020202020202,0.3198162267245616,0.39404706907391246
