event_idx,from_cell,to_cell,dur_s,pA_from,pA_to,pB_from,pB_to,correct_A,correct_B,hda_correct,flip_correct,margin_A_dB,margin_B_dB
27,26368257.0,26368258.0,91.0,-55.1708984375,-54.46330261230469,-55.842681884765625,-53.832763671875,False,True,False,True,-0.7075958251953125,2.009918212890625
28,26368258.0,28650241.0,128.0,-58.10889434814453,-59.46770477294922,-58.32958984375,-59.26130676269531,True,False,False,False,1.3588104248046875,-0.9317169189453125
29,28650241.0,26947072.0,10.0,-104.54603576660156,-270.0,-270.0,-270.0,True,False,False,False,165.45396423339844,0.0
30,26947072.0,28792066.0,27.0,-104.25355529785156,-270.0,-104.40591430664062,-270.0,True,False,False,False,165.74644470214844,-165.59408569335938
31,28792066.0,26947072.0,27.0,-83.72931671142578,-75.04612731933594,-102.64492797851562,-74.8450927734375,False,True,False,True,-8.683189392089844,27.799835205078125
32,28792066.0,26947072.0,47.0,-270.0,-57.5855712890625,-270.0,-57.18952941894531,False,True,False,True,-212.4144287109375,212.8104705810547
33,26366722.0,26917120.0,13.0,-60.47966003417969,-85.49844360351562,-60.96360778808594,-85.83505249023438,True,False,False,False,25.018783569335938,-24.871444702148438
34,26917120.0,40782336.0,158.0,-74.25179290771484,-270.0,-63.884727478027344,-84.66735076904297,True,False,False,False,195.74820709228516,-20.782623291015625
35,40782336.0,26947073.0,16.0,-104.24200439453125,-49.20372772216797,-270.0,-48.13871765136719,False,True,False,True,-55.03827667236328,221.8612823486328
36,26947073.0,26947074.0,70.0,-57.661041259765625,-73.04741668701172,-58.089942932128906,-71.42601013183594,True,False,False,False,15.386375427246094,-13.336067199707031
37,34210561.0,34210562.0,35.0,-51.33659362792969,-66.22038269042969,-53.014137268066406,-65.98301696777344,True,False,False,False,14.8837890625,-12.968879699707031
38,34210562.0,26347520.0,20.0,-59.440879821777344,-59.89881896972656,-59.9534912109375,-59.20692443847656,True,True,True,True,0.45793914794921875,0.7465667724609375
39,30625794.0,40812800.0,76.0,-47.807212829589844,-65.76095581054688,-48.94275665283203,-65.50133514404297,True,False,False,False,17.95374298095703,-16.558578491210938
40,40812800.0,26356993.0,159.0,-63.09130859375,-69.97764587402344,-63.408287048339844,-69.8612060546875,True,False,False,False,6.8863372802734375,-6.452919006347656
41,26356993.0,26353920.0,48.0,-69.85100555419922,-57.02808380126953,-69.91740417480469,-56.7738037109375,False,True,False,True,-12.822921752929688,13.143600463867188
42,26353920.0,26365186.0,81.0,-54.032737731933594,-63.99671936035156,-54.6490478515625,-63.78070831298828,True,False,False,False,9.963981628417969,-9.131660461425781
43,26365186.0,26365185.0,120.0,-60.49537658691406,-63.27240753173828,-60.64613342285156,-63.230735778808594,True,False,False,False,2.7770309448242188,-2.5846023559570312
44,26365185.0,26363650.0,32.0,-66.53695678710938,-50.36378479003906,-66.67884826660156,-48.7900390625,False,True,False,True,-16.173171997070312,17.888809204101562
45,26363650.0,26363649.0,11.0,-57.810943603515625,-51.26244354248047,-58.277923583984375,-51.41999053955078,False,True,False,True,-6.548500061035156,6.857933044433594
46,26363649.0,29127682.0,113.0,-56.93927001953125,-57.031402587890625,-57.33436584472656,-56.67535400390625,True,True,True,True,0.092132568359375,0.6590118408203125
47,29127680.0,29127681.0,45.0,-65.27100372314453,-62.879364013671875,-65.25956726074219,-62.82489013671875,False,True,False,True,-2.3916397094726562,2.4346771240234375
48,29127680.0,29127681.0,54.0,-65.20294189453125,-61.708229064941406,-65.26679992675781,-61.50892639160156,False,True,False,True,-3.4947128295898438,3.75787353515625
49,26357760.0,29127680.0,21.0,-42.144874572753906,-67.80145263671875,-43.01264190673828,-67.87379455566406,True,False,False,False,25.656578063964844,-24.86115264892578
50,29127680.0,26367489.0,13.0,-68.6416244506836,-61.00413513183594,-68.71769714355469,-61.12488555908203,False,True,False,True,-7.637489318847656,7.592811584472656
51,26367489.0,33802242.0,80.0,-63.409385681152344,-61.084861755371094,-63.60124206542969,-60.84141540527344,False,True,False,True,-2.32452392578125,2.75982666015625
52,33802242.0,33802241.0,38.0,-63.22044372558594,-59.128684997558594,-63.4405517578125,-58.73546600341797,False,True,False,True,-4.091758728027344,4.705085754394531
53,33802241.0,30829824.0,91.0,-61.549522399902344,-57.98262023925781,-61.827178955078125,-57.49102783203125,False,True,False,True,-3.5669021606445312,4.336151123046875
54,30829824.0,30829312.0,30.0,-52.978118896484375,-54.53718566894531,-53.658485412597656,-54.068756103515625,True,False,False,False,1.5590667724609375,-0.41027069091796875
55,30829312.0,34006273.0,403.0,-59.37877655029297,-54.602630615234375,-59.749290466308594,-53.9427490234375,False,True,False,True,-4.776145935058594,5.806541442871094
56,34006273.0,34006272.0,10.0,-44.430084228515625,-46.75288391113281,-46.073333740234375,-46.36192321777344,True,False,False,False,2.3227996826171875,-0.2885894775390625
57,34006272.0,30828801.0,12.0,-56.062591552734375,-53.50537109375,-56.82396697998047,-52.39552307128906,False,True,False,True,-2.557220458984375,4.428443908691406
58,30828801.0,30828800.0,11.0,-50.956077575683594,-45.725059509277344,-52.312782287597656,-47.18882751464844,False,True,False,True,-5.23101806640625,5.123954772949219
59,30828800.0,34006529.0,14.0,-58.66725158691406,-59.1268310546875,-59.273345947265625,-58.50712585449219,True,True,True,True,0.4595794677734375,0.7662200927734375
60,34006529.0,34006528.0,16.0,-43.514930725097656,-43.085906982421875,-44.94762420654297,-44.823211669921875,False,True,False,True,-0.42902374267578125,0.12441253662109375
61,34007040.0,30827265.0,33.0,-45.058998107910156,-46.424644470214844,-45.760902404785156,-45.729461669921875,True,True,True,False,1.3656463623046875,0.03144073486328125
62,30827265.0,30827264.0,44.0,-46.276100158691406,-50.35621643066406,-47.24053955078125,-49.89825439453125,True,False,False,False,4.080116271972656,-2.65771484375
63,26681600.0,26607105.0,126.0,-42.75641632080078,-56.303062438964844,-42.89971160888672,-56.22661590576172,True,False,False,False,13.546646118164062,-13.326904296875
64,26607105.0,26722816.0,93.0,-64.26148223876953,-59.60200500488281,-64.44435119628906,-59.28626251220703,False,True,False,True,-4.659477233886719,5.158088684082031
65,26349056.0,26349058.0,71.0,-54.252471923828125,-64.9166259765625,-55.15936279296875,-64.62345123291016,True,False,False,False,10.664154052734375,-9.464088439941406
66,26349058.0,26369024.0,126.0,-65.19279479980469,-65.47830200195312,-65.35333251953125,-65.3193359375,True,True,True,False,0.2855072021484375,0.03399658203125
67,26369024.0,26369025.0,38.0,-63.4749755859375,-55.46119689941406,-63.72428894042969,-54.69346618652344,False,True,False,True,-8.013778686523438,9.03082275390625
68,26369025.0,26358784.0,131.0,-59.36540222167969,-55.87382507324219,-59.69868469238281,-55.31401062011719,False,True,False,True,-3.4915771484375,4.384674072265625
69,26358784.0,26358785.0,84.0,-54.789344787597656,-52.175811767578125,-55.25361633300781,-51.926719665527344,False,True,False,True,-2.6135330200195312,3.3268966674804688
70,26358785.0,26359553.0,37.0,-58.381004333496094,-53.794593811035156,-58.338783264160156,-53.195953369140625,False,True,False,True,-4.5864105224609375,5.142829895019531
71,26359553.0,26359554.0,46.0,-48.07707977294922,-54.13801574707031,-49.318878173828125,-53.48865509033203,True,False,False,False,6.060935974121094,-4.169776916503906
72,26359554.0,26720002.0,67.0,-56.45697784423828,-56.129600524902344,-56.93915557861328,-55.58844757080078,False,True,False,True,-0.3273773193359375,1.3507080078125
73,26720002.0,26795520.0,35.0,-56.40986633300781,-53.65740966796875,-56.94622802734375,-52.8636474609375,False,True,False,True,-2.7524566650390625,4.08258056640625
74,26795520.0,26367744.0,32.0,-55.08753967285156,-53.29967498779297,-55.681617736816406,-52.460899353027344,False,True,False,True,-1.7878646850585938,3.2207183837890625
75,26367744.0,26351361.0,67.0,-58.19523620605469,-57.587730407714844,-58.48204803466797,-57.24786376953125,False,True,False,True,-0.6075057983398438,1.2341842651367188
76,26351361.0,26351360.0,22.0,-46.92578125,-54.72418212890625,-47.581207275390625,-54.34703826904297,True,False,False,False,7.79840087890625,-6.765830993652344
77,26351360.0,26351362.0,19.0,-53.729591369628906,-55.88594055175781,-54.528770446777344,-55.30724334716797,True,False,False,False,2.1563491821289062,-0.778472900390625
78,26368257.0,26368258.0,113.0,-54.78944396972656,-54.821746826171875,-55.42479705810547,-54.251251220703125,True,True,True,True,0.0323028564453125,1.1735458374023438
79,26368258.0,28650241.0,369.0,-58.05859375,-59.418243408203125,-58.301170349121094,-59.21632385253906,True,False,False,False,1.359649658203125,-0.9151535034179688
80,28650241.0,26947072.0,18.0,-113.44157409667969,-270.0,-113.42300415039062,-270.0,True,False,False,False,156.5584259033203,-156.57699584960938
