cell_id,n_train,n_val,wcl_lat,wcl_lon,refined_lat,refined_lon,delta_m,dx_m,dy_m,wcl_height_m,refined_height_m,wcl_azimuth_deg,refined_azimuth_deg,n_nm_evals,wcl_opt_mae,refined_opt_mae,wcl_val_mae,refined_val_mae,val_mae_gain,wcl_spearman,refined_spearman,wcl_alpha,refined_alpha
26347520.0,540,143,52.50098761251361,13.280225249011746,52.50148860382928,13.2809533439883,74.45868274612367,49.333184911438224,55.770353260327646,30.0,22.52350025390453,270.0,231.1749835530232,56,3.2235995066081804,1.7089836335709336,3.6671859970036285,2.8243678983808858,0.8428180986227427,0.359031392950716,0.6619950383962291,0.031941185814770234,0.3569389718021489
26347523.0,13,5,52.49878825141347,13.282027655307097,52.50181704317744,13.280661661753957,349.6379949902287,-92.55497526423196,337.16509916452594,30.0,40.59414340448964,315.0,243.60395293834142,106,2.266393485641851,2.016218884058017,5.629582584625538,4.5888501271595485,1.0407324574659897,0.6,0.7,0.08414723588889082,0.1685002826524668
26349056.0,46,15,52.51081801064475,13.369188601134516,52.51091828827152,13.369147522903479,11.504665018831474,-2.7833181561163656,11.16290541200442,30.0,33.33967516432722,90.0,102.80535745803377,51,2.936464059347213,1.9991728780219187,4.226956109166603,3.1062920897710002,1.120664019395603,-0.23571428571428568,0.08928571428571427,0.47115820037268025,0.4211767109750581
26349058.0,999,246,52.510007029585566,13.36337872603045,52.51010840155914,13.363675169944544,23.03894215470903,20.086009244330327,11.284728097951913,30.0,27.135434576601014,180.0,185.73715880374849,41,2.9747383045755145,2.1330610352959654,2.95562753924427,2.24223378355971,0.7133937556845598,0.32756511619883455,0.49569600507771844,0.3142671293598259,0.21096646845423728
26349061.0,55,12,52.50999083696261,13.36323228101177,52.51009544986067,13.363404153874892,16.469235089159334,11.6455078125,11.6455078125,30.0,33.8134765625,180.0,176.396484375,33,2.8809426649378405,1.9473667399231303,2.991196904539477,2.1977666112039813,0.7934302933354958,0.5524475524475525,0.4895104895104896,0.5596485128999185,0.376952978483332
26351360.0,449,123,52.4997799254176,13.320541453889705,52.49994834186024,13.320405057534286,20.902195010602806,-9.24174295909804,18.748118394634453,30.0,10.605746780593826,180.0,170.43374034508724,84,2.9434061941231624,1.1457131654273316,3.889908338984201,1.4296863339288444,2.4602220050553565,0.5343828725900894,0.8857373246001331,0.6872201088959901,0.5967522835429476
26351361.0,359,99,52.49991945667663,13.32286995138966,52.50033608118314,13.322648650179753,48.74234613836184,-14.994600788409857,46.37864006488435,30.0,22.771885947618397,180.0,203.12573835222082,55,5.117269502001575,1.5725922019592578,4.869737205431505,1.8844996238162763,2.985237581615229,0.06936752243874456,0.831780415196336,0.4845393823813859,0.37402707169096955
26351362.0,313,78,52.49959673233878,13.317166208574271,52.50021070360088,13.31726442052497,68.67046804646282,6.6545004158918175,68.34728089642752,30.0,26.022411719012695,0.0,4.276476862867469,53,2.3028789796327827,2.0058881385939653,2.503018973777081,1.7492303683826054,0.7537886053944758,0.3825705371882627,0.6256054888212488,0.6584608550157546,1.7152673500252926
26351365.0,62,14,52.49955067065489,13.317034410370823,52.499831955885085,13.317954735619463,69.77828150023281,62.358039997355505,31.312671824900907,30.0,27.862707596291582,315.0,292.69777368892096,57,14.824911511148178,1.0221481151768308,10.552174955346288,1.2686946843046627,9.283480271041626,0.37537569071900656,-0.3708801734648868,0.0,0.314634833176362
26353664.0,22,7,52.5037069550815,13.337969466661779,52.503696140930494,13.3387023996628,49.67558151765924,49.66099263349588,-1.203831289457133,30.0,29.831806278226544,180.0,179.8290090316792,61,21.56628358823385,0.5555262305669789,20.906550306538566,0.9732181697637137,19.93333213677485,-0.42857142857142866,0.8214285714285715,0.0,0.335061207873095
