_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,wcl_lat,wcl_lon
1062,2567188.0,train,-117.5640060240964,-71.42279052734375,1312.0382335076292,2000.0,52.514526453704995,13.324823254679574
1071,2567188.0,train,-116.605,-71.61029052734375,1345.8767967969493,2000.0,52.514526453704995,13.324823254679574
1072,2567188.0,train,-116.985,-71.69818115234375,1361.723211323737,2000.0,52.514526453704995,13.324823254679574
1078,2567188.0,train,-121.6425,-71.7808609008789,1376.5468408885924,2000.0,52.514526453704995,13.324823254679574
1083,2567188.0,train,-125.365,-71.85261535644531,1389.8170064230217,2000.0,52.514526453704995,13.324823254679574
1084,2567188.0,train,-125.1725,-71.91799926757812,1401.8435297987396,2000.0,52.514526453704995,13.324823254679574
1091,2567188.0,train,-126.24166666666666,-71.96961975097656,1413.2052969280012,2000.0,52.514526453704995,13.324823254679574
1095,2567188.0,train,-128.22416666666666,-72.02899169921875,1424.2203935184116,2000.0,52.514526453704995,13.324823254679574
1569,2567188.0,train,-123.306640625,-75.52519226074219,1734.2911594642385,2000.0,52.514526453704995,13.324823254679574
1572,2567188.0,train,-128.10044642857142,-75.55824279785156,1741.2153228978543,2000.0,52.514526453704995,13.324823254679574
17480,2567188.0,train,-99.89695945945944,-63.01280975341797,356.815509193856,2000.0,52.514526453704995,13.324823254679574
17484,2567188.0,train,-103.49255952380952,-63.01110076904297,356.73576581237285,2000.0,52.514526453704995,13.324823254679574
17489,2567188.0,train,-104.56875,-63.00166320800781,356.28644241880767,2000.0,52.514526453704995,13.324823254679574
17578,2567188.0,train,-107.335,-59.23889923095703,213.76337642010316,2000.0,52.514526453704995,13.324823254679574
17580,2567188.0,train,-102.9625,-59.10295104980469,209.82433455065944,2000.0,52.514526453704995,13.324823254679574
17587,2567188.0,train,-108.61280487804878,-58.985633850097656,206.48424881343112,2000.0,52.514526453704995,13.324823254679574
17590,2567188.0,train,-109.29241071428572,-58.87574005126953,203.40319118946206,2000.0,52.514526453704995,13.324823254679574
17596,2567188.0,train,-108.41032608695652,-58.70692443847656,198.7602748616031,2000.0,52.514526453704995,13.324823254679574
17601,2567188.0,train,-108.3720238095238,-58.64109802246094,196.97875568401292,2000.0,52.514526453704995,13.324823254679574
17605,2567188.0,train,-107.259375,-58.597137451171875,195.97017800233053,2000.0,52.514526453704995,13.324823254679574
17615,2567188.0,train,-109.35096153846152,-58.638641357421875,197.1692615990337,2000.0,52.514526453704995,13.324823254679574
17618,2567188.0,train,-108.02232142857144,-58.719940185546875,199.45399171298712,2000.0,52.514526453704995,13.324823254679574
17622,2567188.0,train,-106.77403846153848,-58.83881378173828,202.73691445964323,2000.0,52.514526453704995,13.324823254679574
17627,2567188.0,train,-106.08333333333331,-58.987571716308594,206.75239013396498,2000.0,52.514526453704995,13.324823254679574
17631,2567188.0,train,-101.6903409090909,-59.14381408691406,211.1024281062662,2000.0,52.514526453704995,13.324823254679574
17634,2567188.0,train,-99.88920454545456,-59.30194854736328,216.2416857910278,2000.0,52.514526453704995,13.324823254679574
17638,2567188.0,train,-100.11684782608695,-59.48994445800781,221.66225320206647,2000.0,52.514526453704995,13.324823254679574
17640,2567188.0,train,-98.08238636363636,-59.679298400878906,227.37153973857062,2000.0,52.514526453704995,13.324823254679574
