_row,operator,device,cell_id,split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,gap_type,tower_lat,tower_lon,position_source,sionna_power_cal,residual_cal
33817,1,pc4,33802242.0,train,-85.23508522727273,-57.291259765625,163.81790983345172,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-74.29129906652314,-10.943786160749596
130654,1,pc4,33802242.0,train,-79.088125,-51.16443634033203,72.48178248060066,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-68.16447564123017,-10.923649358769836
1093,1,pc1,33802242.0,train,-86.511875,-55.40802764892578,127.04886185466572,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-72.40806694982392,-14.103808050176085
105779,1,pc1,33802242.0,train,-92.200625,-61.224517822265625,280.3343113739906,1800.0,Park,Unflagged,52.5127,13.3344,ocid_exact,-78.22455712316376,-13.97606787683624
179021,1,pc1,33802242.0,train,-78.258125,-58.459228515625,192.13050064749297,1800.0,Park,Unflagged,52.5127,13.3344,ocid_exact,-75.45926781652314,-2.798857183476869
118843,1,pc1,33802242.0,train,-77.9375,-58.98979949951172,206.59544615695341,1800.0,Park,Unflagged,52.5127,13.3344,ocid_exact,-75.98983880040986,-1.9476611995901436
130839,1,pc1,33802242.0,train,-78.655,-59.381072998046875,217.9595688236192,1800.0,Park,Unflagged,52.5127,13.3344,ocid_exact,-76.38111229894501,-2.2738877010549885
80714,1,pc4,33802242.0,train,-85.049375,-54.53932189941406,113.15062156177078,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-71.5393612003122,-13.510013799687798
80993,1,pc4,33802242.0,train,-85.31,-55.33476257324219,125.81979670679156,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-72.33480187414033,-12.975198125859677
172423,1,pc1,33802242.0,train,-78.760625,-51.713645935058594,77.9524987418935,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-68.71368523595673,-10.046939764043273
48583,1,pc4,33802242.0,val,-92.5564903846154,-71.27635192871094,1032.5776964578922,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-88.27639122960908,-4.280099155006326
48588,1,pc4,33802242.0,val,-93.32932692307692,-71.20354461669922,1023.3095516457261,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-88.20358391759736,-5.125743005479563
48593,1,pc4,33802242.0,val,-92.89415322580643,-71.13643646240234,1014.8367694736384,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-88.13647576330048,-4.757677462505953
48596,1,pc4,33802242.0,val,-92.21875,-71.07322692871094,1006.9156522509248,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-88.07326622960908,-4.145483770390925
48599,1,pc4,33802242.0,val,-92.945625,-71.01596069335938,999.7899733494961,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-88.01599999425751,-4.929625005742494
48605,1,pc4,33802242.0,val,-93.211875,-70.96669006347656,993.6966744885808,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.9667293643747,-5.245145635625306
48610,1,pc4,33802242.0,val,-94.424375,-70.9244384765625,988.4993405169571,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.92447777746064,-6.49989722253936
48614,1,pc4,33802242.0,val,-95.81875,-70.88746643066406,983.9726422954858,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.8875057315622,-7.931244268437794
48618,1,pc4,33802242.0,val,-96.224375,-70.85882568359375,980.4779587426054,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.85886498449189,-8.365510015508107
48619,1,pc4,33802242.0,val,-96.006875,-70.843017578125,978.5557323792516,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.84305687902314,-8.163818120976856
48624,1,pc4,33802242.0,val,-95.93375,-70.83749389648438,977.8851368393083,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83753319738251,-8.09621680261749
48628,1,pc4,33802242.0,val,-96.35375,-70.83749389648438,977.8851368393083,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83753319738251,-8.516216802617492
48632,1,pc4,33802242.0,val,-96.5290404040404,-70.8375473022461,977.8909680434421,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83758660314423,-8.69145380089617
48638,1,pc4,33802242.0,val,-96.3378712871287,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.501207840722756
48642,1,pc4,33802242.0,val,-96.45875,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.622086553594045
