cell_id,n_train,n_train_excluded_zone,n_val,wcl_lat,wcl_lon,refined_lat,refined_lon,refined_height_m,refined_azimuth_deg,delta_m,dx_m,dy_m,scatter_s,tower_freq_mhz,n_nm_evals,wcl_opt_mae,refined_opt_mae,wcl_val_mae,refined_val_mae,val_mae_gain,wcl_spearman,refined_spearman,wcl_alpha,refined_alpha,wcl_intercept,refined_intercept
2567188.0,535,30,87,52.5134213115011,13.325140985047913,52.513179791280756,13.327213354447041,22.66532319911523,342.16702252977814,142.97015986139877,140.41940019701227,-26.886030928815686,0.4,2000.0,62,5.554056259544938,3.576266419105594,4.158264488999854,4.966471569778428,-0.8082070807785744,0.3709630385652839,0.22424728439163077,0.6542756246122484,0.6601815586902711,-62.1208440494782,-61.991085894086574
2568970.0,2052,0,11,52.49167687730835,13.304692783706052,52.491328296528685,13.305202579198868,26.594179588691986,84.26149574950614,51.951396486452325,34.542672437828514,-38.80401239234743,0.4,1800.0,47,5.442995718952366,1.7040206162136329,14.757613148339157,6.18516112928063,8.572452019058527,-0.9272727272727275,0.9,0.2955507533678982,1.5496137544184374,-74.64425914141482,10.765744813937772
2568981.0,70,0,103,52.49213342130888,13.304740839562285,52.493028387477494,13.306000180060975,47.3201454116398,2.5434270762256963,131.17515074989836,85.33026860179933,99.62763389041889,0.4,2000.0,60,3.771324196007894,3.079121399611195,22.47554823080358,23.284237151266368,-0.8086889204627887,0.7907316688510062,0.7825409764284029,0.10505300355942511,0.37409961524259555,-99.34237490903168,-78.37780398066627
2818323.0,154,1,56,52.50241404520938,13.28087308818208,52.50265135149216,13.281139988238191,34.27587069571018,127.92194947600365,32.014165333319895,18.084587529301643,26.41693539917469,0.4,2000.0,47,10.483522742786558,2.0411656707720764,9.19603527257402,2.149208374055968,7.046826898518052,0.2346548188653452,0.8820915926179085,0.0,0.7833460098043987,-114.31956097230261,-49.716842282942224
2824467.0,123,0,25,52.49958078909637,13.317256886511046,52.5003833414538,13.316500418247507,11.409312369950477,145.78128814662773,102.99955341416474,-51.256701570114686,89.34012842877257,0.4,2000.0,72,2.907129690456891,1.1419232601114537,3.5702670383079322,1.6733394243214292,1.896927613986503,0.8692307692307691,0.943076923076923,1.8789948717210343,1.3120694521266048,29.04917824935241,-31.127459548297146
2824469.0,286,0,132,52.49970744885154,13.313752755446304,52.499559450443975,13.312918933256785,58.61139307796843,113.08178019492988,58.851170821125464,-56.49804121422736,-16.47518272957106,0.4,2000.0,72,4.043433339732743,2.0808004366927997,3.38815058528155,2.5291220382536235,0.8590285470279264,0.6065345005629584,0.8503223689901058,0.17424980281743485,0.6704436543962146,-79.9863238683851,-45.55087041837048
2826260.0,283,0,58,52.48838435096116,13.301911654389775,52.488361022723176,13.30241128603632,14.416164784398909,23.70813296670879,33.95344799363385,33.85399155032282,-2.596899452629969,0.4,2000.0,55,3.0676279518042784,2.880485734576227,4.908037265226361,4.448795326719191,0.4592419385071702,0.13396290258082377,0.4143160355593836,0.14490231368020762,0.0823389581737299,-92.59023377259034,-97.18015428661936
2837263.0,174,0,10,52.50132550693716,13.332371238887982,52.501370743661454,13.331904206145055,33.94989018395279,50.80810037123996,32.043327570472435,-31.645158272345952,5.035752149061068,0.4,2600.0,71,1.4382263245093327,1.188655369606136,3.842205559412369,3.5357212148957515,0.30648434451661766,0.7939393939393938,0.5393939393939393,0.1543481375244978,0.17690174442014137,-91.49404722732903,-90.53174576027337
2837267.0,119,0,38,52.50439102035884,13.335864396259005,52.50434313515779,13.335710695024918,34.81798876666289,349.04168320332246,11.699416082132633,-10.414472974298405,-5.330580580994138,0.4,2000.0,88,1.0743541402344077,0.9832446913896091,3.315871211245035,2.923330568090629,0.3925406431544056,-0.07705073494547177,0.1180168633583926,0.2679251038120192,0.20356228874198812,-77.36915603156588,-80.8045641502209
2837268.0,81,0,80,52.503284547203215,13.334413887583022,52.50341732461526,13.334540521891066,21.974917751134292,110.4449747189029,17.090817746957658,8.580474884178662,14.780781509165946,0.4,2000.0,90,3.317612418297042,2.3851543715634875,4.252316292580015,1.787593753562653,2.464722539017362,0.6776656512357268,0.6885966207906751,0.5754670263174457,0.3899317336203983,-52.72513580346434,-61.27691574890984
