_row,operator,device,near_typeb,dist_to_typeb_m,sionna_cal_pt,measured_rsrp
45627,1,pc4,False,3530.7723284806393,-106.74579913204757,-95.91768292682929
45632,1,pc4,False,3529.493575228279,-106.4038878161296,-100.63375
45638,1,pc4,False,3527.8348779368453,-106.01530749386396,-101.259375
45642,1,pc4,False,3526.4098063824713,-105.62219531124678,-101.935625
45644,1,pc4,False,3525.007201331628,-105.19404131954757,-100.736875
45647,1,pc4,False,3523.9209351464815,-104.73090655392257,-97.744375
45652,1,pc4,False,3522.766632520786,-104.21620471066085,-99.959375
45657,1,pc4,False,3521.7464596447385,-103.65903002804366,-103.213125
45660,1,pc4,False,3520.767397684316,-103.05468279903975,-103.679375
45665,1,pc4,False,3519.5425430575433,-102.39124590939132,-103.3
45670,1,pc4,False,3518.1710775730417,-101.66804034298504,-102.54
45674,1,pc4,False,3516.7499174659674,-100.88614947384444,-100.803125
45678,1,pc4,False,3515.0848941387203,-100.03947741573896,-99.504375
45682,1,pc4,False,3513.462834554986,-99.12514025753586,-100.115625
45683,1,pc4,False,3511.6871120568653,-98.14215380734052,-99.643125
45688,1,pc4,False,3508.990605095683,-97.01098162716475,-99.634375
45692,1,pc4,False,3506.4247295531727,-95.7825041491374,-97.04625
45695,1,pc1,False,3522.087828597502,-103.87134844845382,-97.8452380952381
45696,1,pc4,False,3503.610585246945,-94.38061816280928,-98.39375
45699,1,pc1,False,3521.0799361965915,-103.2081099230632,-100.418125
45700,1,pc4,False,3500.3528265174787,-92.78419787472336,-97.61375
45705,1,pc1,False,3519.932816869627,-102.46409899777022,-98.375
45706,1,pc4,False,3496.637407735007,-91.05814654415694,-95.12375
45709,1,pc4,False,3492.3613231222457,-89.33401782101241,-91.574375
45710,1,pc1,False,3518.6529939893135,-101.6470061022624,-101.224375
45713,1,pc4,False,3487.81504067988,-88.0009108263835,-96.240625
45714,1,pc1,False,3517.1423424626037,-100.7850905138835,-94.011875
45716,1,pc4,False,3482.9952623177355,-87.66850573605147,-96.634375
45718,1,pc1,False,3515.494004109752,-99.8411436755046,-94.12809405940594
45720,1,pc1,False,3513.706678556212,-98.79790026730149,-96.23800505050504
45721,1,pc4,False,3477.531549002549,-88.56476122921553,-97.90125
45723,1,pc1,False,3511.4003609838514,-97.59188372677411,-97.89625
45725,1,pc4,False,3471.5134981101405,-90.18747241085616,-99.704375
45728,1,pc4,False,3464.84121399865,-91.96234423702803,-98.951875
45730,1,pc1,False,3508.5832683590743,-96.15131671017257,-96.91125
45731,1,pc4,False,3457.4253953395887,-93.66498858517257,-95.9075
45734,1,pc1,False,3505.24617369109,-94.47901446407884,-95.876875
45736,1,pc4,False,3449.55269419571,-95.20408923214522,-95.66625
45738,1,pc1,False,3501.381542561501,-92.5628920275554,-95.13375
45739,1,pc1,False,3497.0836903363324,-90.45178515499678,-90.496875
45742,1,pc4,False,3441.3848060680352,-96.52621752804366,-102.109375
45744,1,pc1,False,3492.1447316703757,-88.54123217648116,-89.52784653465346
45746,1,pc4,False,3432.643915356309,-97.70759112423504,-105.749375
45749,1,pc1,False,3486.2620546118615,-87.75947863644211,-93.44633838383838
45753,1,pc1,False,3479.9028550595553,-88.66514880245772,-89.22339108910892
45758,1,pc1,False,3472.9691158884607,-90.43374926632492,-90.9225
45761,1,pc1,False,3465.5744689808826,-92.33224780148116,-92.76515151515152
45765,1,pc1,False,3457.617308536814,-94.07580096310224,-90.82178217821782
