cell_id,n_train,n_val,wcl_lat,wcl_lon,refined_lat,refined_lon,delta_m,dx_m,dy_m,n_nm_evals,wcl_opt_mae,refined_opt_mae,wcl_val_mae,refined_val_mae,val_mae_gain,wcl_spearman,refined_spearman,wcl_alpha,refined_alpha
26347520.0,464,51,52.500889784057115,13.280354443627312,52.50088155977268,13.28016842818583,12.636967616748153,-12.603759765625,-0.91552734375,19,2.0815589397512606,2.0631328036503747,2.6928635857452714,2.7001530322683296,-0.007289446523058185,0.5476923076923077,0.5466968325791856,0.34476078867655013,0.3379983909674373
26349058.0,710,68,52.51001811220519,13.363237036838427,52.50987424205607,13.36329468811327,16.485115504694683,3.90625,-16.015625,17,2.0630084030122187,2.04131857568686,2.581384930208976,2.5704236010632,0.010961329145775967,0.5736534717715768,0.5724319578577699,0.3446641660804068,0.33726791868991013
26351360.0,331,50,52.499812347181035,13.320654821894948,52.499461334721175,13.320717337496104,39.30362666166976,4.23583984375,-39.07470703125,32,2.1006414648939056,1.8762630069056903,1.8236992519372146,1.9679867052422915,-0.14428745330507686,0.7676680462897809,0.7422383384205247,1.109966993846907,1.8737779217344135
26351361.0,285,63,52.499969080178964,13.32325435756781,52.5001528655219,13.323011501572537,26.255278283734636,-16.455078125,20.458984375,23,2.7124581623664885,2.198044700692014,4.234709046401729,3.0729799269249463,1.161729119476783,0.6230402094389343,0.7879058284977185,1.1631625356149324,1.2999918691824477
26351362.0,206,18,52.49961399432862,13.31711266009894,52.4997271604825,13.319075686007313,133.60306556747986,133.0078125,12.59765625,28,2.619480667325683,1.408063275232963,3.198780732000008,1.0188918435083005,2.1798888884917074,0.16202270381836945,-0.04231166150670795,0.0,0.03347843543778555
26356994.0,272,20,52.50325760255482,13.28168618644737,52.50316110428407,13.2818490512988,15.400300833005513,11.03515625,-10.7421875,16,2.9828145926364367,2.9606105218373764,3.126940989174714,3.0867892142878772,0.040151774886836744,0.6300751879699248,0.6165413533834586,0.3120520190039808,0.3091241423101859
26358784.0,1042,91,52.505558217967334,13.341395845663152,52.50571682329274,13.341311327993433,18.56142787474235,-5.72662353515625,17.65594482421875,29,2.3307093321012173,1.9795918878675796,4.125851703145483,3.806126603944234,0.31972509920124903,-0.36619845690106984,0.2688815467791722,0.7626618543403928,0.8292812394153428
26358785.0,656,85,52.50418799089777,13.340389516036893,52.50488716473221,13.339978030062708,82.6750712608674,-27.880859375,77.83203125,18,2.443035197785291,1.5749278605444779,3.1297432603505366,2.7488437255150093,0.3808995348355273,0.5596250972866439,0.827615456861202,0.7561558519120473,1.7481691337509113
26359553.0,367,38,52.50379306936517,13.337939633312395,52.503812807647826,13.337670113602508,18.393432195512293,-18.26171875,2.197265625,18,1.3119269063617929,0.8593779401931763,1.284346051927906,0.8710024760667341,0.4133435758611719,0.46294655630101383,0.7063707507871524,0.4121402291043746,0.5404390771742751
26359554.0,967,48,52.50438208255231,13.335774306630224,52.504252687143804,13.33582475149571,14.804265562300325,3.41796875,-14.404296875,22,1.6183253991686333,1.4725980111012287,1.940928447245715,2.346721838705349,-0.4057933914596339,0.9287861501263832,0.8855134679197341,1.5443765589329452,1.853032449823718
26367489.0,613,57,52.514513227173495,13.32831144238225,52.515116779994194,13.328715001306144,72.53854713400662,27.34375,67.1875,23,4.116036513680811,3.571255976387953,4.4492212540530325,4.686077314009385,-0.23685605995635228,-0.3446727849786848,-0.3434734721424398,1.2617029475138068,1.9101544094697231
26367744.0,374,48,52.50030237293965,13.327781194340403,52.50061215432019,13.327979010277206,36.998037663178565,13.4033203125,34.48486328125,15,1.5666367251045932,1.040891439384148,1.3268317867828001,1.3098604553231603,0.016971331459639805,0.8943768996960486,0.9067520625271385,1.047380125178314,1.2634973891945005
26368257.0,109,6,52.49926054064937,13.315958108071834,52.499471082331006,13.31621177368114,29.064180058966052,17.1875,23.4375,23,16.807099234647378,3.204623799617626,15.999190516027964,1.2911430731108666,14.708047442917097,0.942857142857143,0.942857142857143,2.0,2.0
26369024.0,1066,139,52.5094573132086,13.351656253361897,52.509819510695294,13.351936943006285,44.58019344319097,19.0185546875,40.31982421875,19,1.9292195318786527,1.8921831706440844,1.52956915206169,1.3882364598929984,0.1413326921686917,0.7863702504676391,0.8013347392679953,0.363017295846875,0.31251046744868605
26369025.0,372,35,52.50668196579713,13.34585388272257,52.50687540096713,13.345838028621989,21.559981046962015,-1.07421875,21.533203125,17,1.9219797084342207,1.8180979760762306,2.331139030772019,2.1906203511107734,0.14051867966124565,0.7647058823529412,0.7599439775910365,1.0337569584470991,1.1749383095122041
26607105.0,668,120,52.51355460835214,13.377092737455685,52.51363882502479,13.37951409099905,164.33013884023222,164.0625,9.375,28,2.161917652142679,1.6287453857950385,3.1399082174784563,2.2431400910126214,0.8967681264658349,0.11898880175788566,0.5813528403417222,0.6328080896821484,1.9556115776028395
26720002.0,422,76,52.50238377593411,13.333510722951116,52.50233651371287,13.333481356832994,5.624912049347681,-1.98974609375,-5.26123046875,17,1.6249107043570388,1.6206354117283637,1.5911264051347058,1.5968436181131054,-0.005717212978399555,0.79863178020392,0.762116978355597,0.6962571567842107,0.722008617696276
26722816.0,625,90,52.511279957643346,13.372019554745693,52.51204975066684,13.37206999961118,85.76149690478168,3.41796875,85.693359375,30,3.085230920015389,1.9607633070824007,4.463077670336182,3.4727903356819207,0.9902873346542616,0.45459210392764665,0.41841599252183104,0.8791266915845831,1.9389983263308033
