tower_id,device,dist_m,measured,simulated,residual,lat,lon
26947072,pc1,3.8966530479369554,-96.001875,-78.6233139038086,-17.378561096191405,52.491996666666665,13.304685
26947072,pc1,13.793391316045234,-96.265625,-96.46247863769531,0.1968536376953125,52.491908333333335,13.304718333333334
26947072,pc1,18.923133735425836,-95.85875,-81.23267364501953,-14.62607635498047,52.491863333333335,13.304736666666669
26947072,pc1,42.027523406336734,-99.97875,-98.63034057617188,-1.3484094238281301,52.49165666666666,13.304611666666666
26947072,pc1,57.33351392774615,-94.2625,-75.71332550048828,-18.54917449951172,52.49153833333333,13.304445
26947072,pc1,58.97996120577283,-94.5325,-75.99461364746094,-18.53788635253906,52.49151833333333,13.304471666666666
26947072,pc1,60.653084736527184,-94.518125,-76.34403991699219,-18.17408508300781,52.491495,13.30453
26947072,pc1,61.409429567013675,-94.21875,-76.47370910644531,-17.745040893554688,52.49148666666667,13.304543333333331
26947072,pc1,63.08555100712059,-93.858125,-76.41383361816406,-17.44429138183594,52.49148,13.304473333333334
26947072,pc1,63.28110552991689,-94.05875,-96.5047378540039,2.445987854003903,52.491465,13.304601666666668
26947072,pc1,63.28110552991689,-93.619375,-96.70897674560547,3.0896017456054636,52.491465,13.304601666666668
26947072,pc1,63.753780486360704,-94.416875,-76.61092376708984,-17.80595123291016,52.49146666666667,13.30453
26947072,pc1,64.04032035938235,-93.923125,-96.07447814941406,2.1513531494140636,52.49145666666666,13.304631666666667
26947072,pc1,64.09613706043949,-94.43,-96.29080963134766,1.8608096313476494,52.49145666666666,13.30462
26947072,pc1,64.28867512969333,-93.901875,-84.24633026123047,-9.655544738769535,52.49145333333333,13.304675
26947072,pc1,64.69852806973077,-94.268125,-84.10296630859375,-10.165158691406248,52.49145,13.304655
26947072,pc1,65.61773823964361,-94.5825,-76.75382995605469,-17.82867004394531,52.49145166666667,13.304511666666668
26947072,pc1,65.80962615180073,-94.21125,-92.87307739257812,-1.3381726074218818,52.49144,13.304655
26947072,pc1,66.02729295395261,-94.14375,-76.75308990478516,-17.39066009521484,52.49145166666667,13.304481666666666
26947072,pc1,66.11230264653054,-94.358125,-76.7337646484375,-17.6243603515625,52.49145,13.304488333333332
26947072,pc1,70.21587117577279,-94.245,-99.26333618164062,5.0183361816406205,52.4914,13.304708333333334
26947072,pc1,70.76753102079002,-93.966875,-95.39128112792969,1.4244061279296858,52.491395,13.304703333333332
26947072,pc1,97.13330433765034,-89.980625,-109.06279754638672,19.082172546386715,52.4929,13.304845
26947072,pc1,100.0862531435686,-103.880625,-98.68949890136719,-5.191126098632807,52.49113333333333,13.304593333333331
26947072,pc1,100.1513658902446,-90.035,-118.03961944580078,28.004619445800785,52.49292333333333,13.304898333333334
26947072,pc1,123.1207576863168,-101.200625,-85.2027359008789,-15.997889099121096,52.49092666666667,13.30457
26947072,pc1,132.16754477441592,-99.01125,-106.92981719970703,7.918567199707027,52.49084333333333,13.304633333333332
26947072,pc1,140.38160736713678,-93.41,-104.64099884033203,11.230998840332035,52.49077,13.304606666666666
26947072,pc1,146.47083854591315,-95.45811855670104,-84.24956512451172,-11.20855343218932,52.493341666666666,13.304915
26947072,pc1,151.69541888972455,-91.379375,-112.62171936035156,21.242344360351566,52.49066833333333,13.3046
26947072,pc1,152.50821662924122,-102.599375,-104.26449584960938,1.6651208496093801,52.49066,13.30466
26947072,pc1,166.27107045805596,-99.348125,-85.04185485839844,-14.306270141601559,52.493525,13.30481
26947072,pc1,178.908385567364,-95.7421875,-83.6036376953125,-12.1385498046875,52.49364,13.304748333333333
26947072,pc1,181.01133713345496,-91.330625,-85.92644500732422,-5.404179992675779,52.493658333333336,13.304783333333331
26947072,pc1,181.3817743088701,-90.983125,-85.94063568115234,-5.042489318847657,52.49366166666667,13.304783333333331
26947072,pc1,190.63184934757268,-95.386875,-85.6542739868164,-9.732601013183597,52.493743333333335,13.304843333333334
26947072,pc1,190.97267750201337,-94.496875,-85.66340637207031,-8.83346862792969,52.49374666666667,13.304835
26947072,pc1,204.47479932481275,-95.815625,-97.1828842163086,1.3672592163085966,52.49386833333333,13.304831666666669
26947072,pc1,210.76436454102182,-97.090625,-97.76958465576172,0.6789596557617159,52.493925,13.30483
26947072,pc1,452.03755990172675,-106.83375,-297.989990234375,191.156240234375,52.49608833333333,13.30512
26947072,pc1,485.39121157785587,-102.806875,-297.989990234375,195.183115234375,52.496386666666666,13.305176666666666
26947072,pc1,505.33338912079086,-104.11,-297.989990234375,193.879990234375,52.496566666666666,13.30517
26947072,pc1,518.3803578406771,-103.323125,-297.989990234375,194.666865234375,52.49668166666667,13.305233333333334
26947072,pc1,518.8211315402671,-105.54,-297.989990234375,192.44999023437498,52.49668833333333,13.305166666666668
26947072,pc1,538.4712315501815,-110.7675,-297.989990234375,187.22249023437502,52.49684,13.305633333333333
26947072,pc1,557.0563046871429,-109.01625,-297.989990234375,188.973740234375,52.496965,13.306121666666666
26947072,pc4,11.111650424533542,-100.220625,-100.83140563964844,0.6107806396484392,52.49195666666667,13.304801666666666
26947072,pc4,27.811010485277603,-100.69847972972973,-80.12374114990234,-20.574738579827383,52.49178166666667,13.30467
26947072,pc4,42.998443715227445,-102.6475,-84.35414123535156,-18.29335876464843,52.49164666666667,13.304756666666666
26947072,pc4,60.24977480810894,-96.685625,-83.7291488647461,-12.956476135253908,52.49149,13.304656666666666
26947072,pc4,60.43960878775014,-97.109375,-83.73970794677734,-13.369667053222656,52.491488333333336,13.304655
26947072,pc4,60.43960878775014,-97.03375,-83.73970794677734,-13.294042053222654,52.491488333333336,13.304655
26947072,pc4,60.62962487759228,-96.745625,-83.7499008178711,-12.99572418212891,52.49148666666667,13.304653333333333
26947072,pc4,60.62962487759228,-96.6975,-83.75006866455078,-12.947431335449224,52.49148666666667,13.304653333333333
26947072,pc4,60.8610196095314,-97.39875,-101.0737533569336,3.675003356933587,52.491485,13.30464
26947072,pc4,60.87466792307256,-97.15875,-101.09454345703125,3.9357934570312523,52.491485,13.304636666666669
26947072,pc4,61.059633627315904,-96.844375,-101.07012939453125,4.225754394531251,52.491483333333335,13.304636666666669
26947072,pc4,61.059633627315904,-97.56875,-101.08123779296875,3.5124877929687557,52.491483333333335,13.304636666666669
26947072,pc4,61.06674873124721,-97.626875,-101.06539916992188,3.4385241699218767,52.491483333333335,13.304635
26947072,pc4,61.43664379296957,-97.636875,-101.08332824707031,3.446453247070309,52.49148,13.304635
26947072,pc4,61.44392246715555,-96.631875,-101.22416687011719,4.592291870117194,52.49148,13.304633333333332
26947072,pc4,61.44392246715555,-96.705625,-101.0674057006836,4.361780700683596,52.49148,13.304633333333332
26947072,pc4,61.62885155617154,-97.253125,-101.21833801269531,3.9652130126953153,52.49147833333333,13.304633333333332
26947072,pc4,62.0061348675166,-97.59125,-100.87123107910156,3.2799810791015602,52.491475,13.304631666666667
26947072,pc4,62.0137573462253,-97.346875,-101.30448150634766,3.957606506347659,52.491475,13.30463
26947072,pc4,62.391323204843694,-97.341875,-100.66246795654297,3.320592956542967,52.49147166666667,13.304628333333334
26947072,pc4,62.785487880948864,-96.595,-100.52655029296875,3.931550292968751,52.49146833333333,13.304623333333334
26947072,pc4,63.5331770156013,-97.07625,-96.05548095703125,-1.0207690429687517,52.491461666666666,13.304621666666666
26947072,pc4,64.307724145265,-97.271875,-96.36998748779297,-0.9018875122070256,52.491455,13.304615
26947072,pc4,64.44073465826077,-97.225625,-96.13379669189453,-1.0918283081054625,52.49145333333333,13.304625
26947072,pc4,64.44885945740397,-96.95875,-96.12205505371094,-0.8366949462890574,52.49145333333333,13.304623333333334
26947072,pc4,64.62559144250243,-97.208125,-96.11053466796875,-1.0975903320312455,52.49145166666667,13.304625
26947072,pc4,64.62559144250243,-96.823125,-96.15646362304688,-0.6666613769531295,52.49145166666667,13.304625
26947072,pc4,88.30711495001734,-91.578125,-97.85100555419922,6.272880554199219,52.492825,13.304741666666668
26947072,pc4,139.1605751296881,-97.415625,-102.447998046875,5.032373046874994,52.49078166666666,13.304583333333332
