tower_id,device,measured,simulated,dist_m,lat,lon,residual
2568970,pc2,-97.44270833333331,-80.40272521972656,212.82421841210146,52.48994666666667,13.304503333333331,-17.039983113606752
2568970,pc2,-97.315,-79.37882232666016,185.0114152922446,52.490195,13.304583333333332,-17.93617767333984
2568970,pc2,-87.825625,-66.71731567382812,30.552770871419177,52.49158333333333,13.304666666666666,-21.108309326171877
2568970,pc2,-88.154375,-66.56954193115234,29.65612701825292,52.491591666666665,13.304685,-21.584833068847658
2568970,pc2,-102.03333333333332,-82.5074234008789,283.64526347709636,52.494395,13.305103333333332,-19.52590993245441
2568970,pc2,-87.6625,-66.43572998046875,28.847154717854988,52.4916,13.304708333333334,-21.226770019531244
2568970,pc2,-88.75063131313131,-66.62844848632812,30.013242973307296,52.49158833333333,13.30468,-22.122182826803183
2568970,pc2,-89.54625,-66.74866485595703,30.74345345712928,52.49158166666667,13.304656666666666,-22.79758514404297
2568970,pc2,-101.25347222222224,-82.59999084472656,287.23303892988133,52.49442166666667,13.305186666666666,-18.65348137749568
2568970,pc2,-89.599375,-66.74866485595703,30.74345345712928,52.49158166666667,13.304656666666666,-22.850710144042964
2568970,pc2,-88.34529702970298,-79.90587615966797,198.8373564605868,52.493645,13.304776666666667,-8.439420870035008
2568970,pc2,-88.08601485148515,-64.19112396240234,14.791876567848034,52.49172833333333,13.304713333333334,-23.894890889082802
2568970,pc2,-88.198125,-66.68730926513672,30.370394962823784,52.491585,13.304671666666668,-21.510815734863286
2568970,pc2,-88.47375,-67.21343994140625,33.594899924188525,52.49155666666667,13.304631666666667,-21.260310058593745
2568970,pc2,-101.13,-80.69938659667969,221.64075048766708,52.489865,13.304623333333334,-20.430613403320308
2568970,pc2,-87.71625,-66.71731567382812,30.552770871419177,52.49158333333333,13.304666666666666,-20.998934326171877
2568970,pc2,-87.506875,-64.12351989746094,14.305498125310288,52.491735,13.304726666666667,-23.383355102539056
2568970,pc2,-88.93125,-66.3643798828125,28.416715488084122,52.491605,13.304723333333332,-22.566870117187506
2568970,pc3,-95.676875,-81.74141693115234,255.55856194908282,52.494155,13.304796666666666,-13.935458068847652
2568970,pc3,-104.4075,-82.97019958496094,302.0133152856264,52.489145,13.304456666666669,-21.43730041503906
2568970,pc3,-100.63625,-83.20796203613281,311.8832160942641,52.489055,13.304503333333331,-17.42828796386719
2568970,pc3,-96.45875,-84.21883392333984,357.3253947454835,52.495068333333336,13.304903333333334,-12.239916076660151
2568970,pc3,-86.380625,-65.6717529296875,24.246183071284214,52.491643333333336,13.304603333333333,-20.708872070312495
2568970,pc3,-86.353125,-75.09366607666016,103.9423994528886,52.49279166666667,13.304743333333333,-11.25945892333985
2568970,pc3,-93.575,-80.72340393066406,222.37223299262612,52.493855,13.304843333333334,-12.85159606933594
2568970,pc3,-103.028125,-86.46581268310547,481.2030745054959,52.49617666666666,13.305123333333333,-16.562312316894534
2568970,pc3,-85.94949494949495,-65.63215637207031,24.007004270996564,52.491645,13.304608333333332,-20.317338577424636
2568970,pc3,-87.815,-76.822265625,130.82908525202603,52.49303166666667,13.304803333333334,-10.992734374999998
2568970,pc3,-86.0,-65.63215637207031,24.007004270996564,52.491645,13.304608333333332,-20.367843627929688
2568970,pc3,-86.295625,-65.55757904052734,23.55583512560565,52.49164833333333,13.304616666666666,-20.738045959472657
2568970,pc3,-96.870625,-81.20204162597656,237.41280011049048,52.489725,13.304513333333333,-15.668583374023441
2568970,pc3,-96.4625,-85.13241577148438,403.62263226180556,52.49548,13.30506,-11.33008422851563
2568970,pc3,-86.25875,-65.63217163085938,24.007004270996564,52.491645,13.304608333333332,-20.62657836914063
2568970,pc3,-85.431875,-65.56297302246094,23.58841373542247,52.49164833333333,13.304613333333334,-19.868901977539068
2568970,pc3,-102.02,-86.29133605957031,470.32397211598493,52.49608166666667,13.30504,-15.728663940429684
2568970,pc3,-94.960625,-73.02696228027344,79.17103972255248,52.492565,13.304805,-21.933662719726556
2568970,pc3,-107.903125,-84.07469177246094,350.4874594988577,52.488708333333335,13.30447,-23.828433227539065
2568970,pc3,-85.215625,-65.63215637207031,24.007004270996564,52.491645,13.304608333333332,-19.58346862792969
2568970,pc3,-104.299375,-84.41354370117188,366.7581563601576,52.48856333333333,13.304413333333333,-19.885831298828123
2568970,pc3,-83.581875,-78.22016143798828,157.9945356417721,52.49327666666667,13.304798333333334,-5.361713562011715
2819850,pc2,-94.95125,-127.14495849609375,304.7593479801916,52.505875,13.341908333333333,32.19370849609375
2819850,pc2,-71.3675,-62.93426513671875,6.578693898636592,52.50345833333333,13.339595,-8.433234863281257
2819850,pc2,-97.226875,-115.0933837890625,232.09653067383027,52.505343333333336,13.341273333333334,17.866508789062493
2819850,pc2,-93.91,-124.23194885253906,148.83191122197587,52.50391833333333,13.337518333333334,30.321948852539066
2819850,pc2,-97.81901041666669,-127.17446899414062,295.5440639877906,52.50584333333333,13.341725,29.35545857747394
2819850,pc2,-71.365625,-62.934364318847656,6.578693898636592,52.50345833333333,13.339595,-8.431260681152338
2819850,pc2,-72.41375,-63.55408477783203,12.296682238293094,52.503465,13.339776666666667,-8.859665222167962
2819850,pc2,-73.8475,-78.0353775024414,34.38570471438274,52.50329333333333,13.339263333333331,4.18787750244141
