operator,device,n_rows,pct_rf_complete,pct_qos_complete,pct_scell_present,pct_gps_complete,pct_txpower_flagged
1,pc1,60208,99.95,85.31,27.51,98.85,62.5
1,pc4,43346,79.04,90.88,17.5,98.76,55.51
2,pc2,43458,98.12,78.34,9.09,98.66,32.65
2,pc3,60422,99.83,83.99,7.5,98.82,39.36
