tower_lat,tower_lon,weighted_spread_m,n_localization_rows,operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,n_validation_rows
52.51432101152081,13.348644795438588,15.9,34,2,262.0,1.0,1495.0,30829824.0,19
52.51434310975972,13.348500387779579,14.6,36,2,262.0,1.0,1495.0,30829826.0,24
52.5139509728744,13.377233918584631,57.4,98,2,262.0,2.0,49100.0,2832398.0,64
52.51497582031275,13.376668356044952,129.2,802,2,262.0,2.0,49100.0,2832399.0,431
52.516130695399575,13.376463826980565,4.6,16,2,262.0,2.0,49100.0,3996429.0,7
52.51614525609177,13.376475273785687,3.0,157,2,262.0,2.0,49100.0,3996435.0,102
52.516115759955966,13.376161820819163,9.0,215,2,262.0,2.0,49100.0,3996436.0,127
52.515952756683035,13.373535060677215,5.9,13,2,262.0,2.0,49100.0,3996942.0,14
52.51577459745283,13.371145648403019,8.4,24,2,262.0,2.0,49100.0,3996943.0,15
52.51594560635855,13.373949919734317,8.4,133,2,262.0,2.0,49100.0,3996947.0,93
52.51593986100604,13.373494454108103,8.3,92,2,262.0,2.0,49100.0,3996948.0,64
52.51581465489585,13.371316367769639,22.9,78,2,262.0,2.0,49100.0,3996949.0,65
52.51576250276551,13.370693069635935,8.0,12,2,262.0,2.0,49100.0,3997709.0,9
52.51565481802135,13.368189580134073,4.6,15,2,262.0,2.0,49100.0,3997710.0,21
52.51561356987561,13.367867031282856,7.3,12,2,262.0,2.0,49100.0,3997711.0,16
52.515772649542804,13.370689318247274,7.8,65,2,262.0,2.0,49100.0,3997715.0,39
52.51562918950461,13.368210584016255,6.7,47,2,262.0,2.0,49100.0,3997716.0,26
52.51561285562407,13.367985335447997,5.8,10,2,262.0,2.0,49100.0,3997717.0,12
52.515425616838705,13.365306048348087,8.7,47,2,262.0,2.0,49100.0,3998477.0,45
52.51525985769794,13.362609737128558,6.8,71,2,262.0,2.0,49100.0,3998478.0,42
52.515099938588705,13.359914765468169,10.5,782,2,262.0,2.0,49100.0,3998479.0,449
52.51544486757541,13.365360632669793,8.9,56,2,262.0,2.0,49100.0,3998483.0,33
52.515281350765704,13.362633034446326,7.2,54,2,262.0,2.0,49100.0,3998484.0,34
52.51510329165856,13.359891008779256,7.3,94,2,262.0,2.0,49100.0,3998485.0,53
52.51495082374765,13.357568455087803,3.6,163,2,262.0,2.0,49100.0,4000013.0,116
52.51474415856295,13.354551528942139,11.7,351,2,262.0,2.0,49100.0,4000014.0,219
52.51457602589012,13.35202777934366,8.2,182,2,262.0,2.0,49100.0,4000015.0,98
52.51494431675247,13.357419317294763,7.9,47,2,262.0,2.0,49100.0,4000019.0,28
52.51473943356386,13.354280343786805,16.3,355,2,262.0,2.0,49100.0,4000020.0,232
52.51458873229387,13.352056468506037,7.4,128,2,262.0,2.0,49100.0,4000021.0,95
52.51553534933633,13.377402035693901,18.8,16,2,262.0,2.0,49100.0,4001555.0,13
52.51468399392149,13.377325097305246,14.9,200,2,262.0,2.0,49100.0,4002324.0,147
52.51579144681598,13.371142864074361,18.7,1033,2,262.0,2.0,49100.0,4080392.0,675
52.51565508047209,13.369196672239772,15.6,632,2,262.0,2.0,49100.0,4080393.0,427
52.51431471535646,13.37722158737791,64.1,267,2,262.0,2.0,49100.0,51708426.0,163
52.51411798167206,13.377231177800143,60.7,298,2,262.0,2.0,49100.0,51709193.0,196
52.51393940800298,13.377238684930505,40.5,275,2,262.0,2.0,49100.0,51709204.0,190
52.51309572915294,13.32529184936035,192.4,839,2,262.0,2.0,49101.0,2567188.0,553
52.50351556277847,13.339617675342625,25.9,2791,2,262.0,2.0,49101.0,2819850.0,1859
52.50555158561484,13.341318492119898,18.8,927,2,262.0,2.0,49101.0,2819859.0,586
52.50351110730874,13.33955852474659,20.2,554,2,262.0,2.0,49101.0,2819861.0,353
52.51227650333266,13.317344353717779,12.9,293,2,262.0,2.0,49101.0,2828051.0,190
52.502588970957014,13.333852129836814,39.1,65,2,262.0,2.0,49101.0,2837262.0,41
52.50133062285434,13.332365964264763,23.8,110,2,262.0,2.0,49101.0,2837263.0,79
52.50435094377704,13.335767251088017,22.0,262,2,262.0,2.0,49101.0,2837267.0,196
52.50327524111314,13.334498641280296,36.5,333,2,262.0,2.0,49101.0,2837268.0,253
52.51555180073757,13.367115042142872,18.1,16,2,262.0,2.0,49101.0,2838279.0,11
52.51719950652319,13.358347359643757,110.7,29,2,262.0,2.0,49101.0,2838288.0,16
52.515565929792274,13.367340815437824,17.0,38,2,262.0,2.0,49101.0,2838293.0,19
52.51764538940051,13.36342509362289,5.4,97,2,262.0,2.0,49101.0,2838294.0,68
52.51377776843183,13.340482459518881,84.5,42,2,262.0,2.0,49101.0,2838542.0,21
52.51229003133255,13.321612878886775,82.4,256,2,262.0,2.0,49101.0,2918925.0,162
52.50442288836786,13.335846558133788,11.6,1633,2,262.0,2.0,49101.0,2940680.0,1145
52.5044148691834,13.335815773978968,10.4,39,2,262.0,2.0,49101.0,2940687.0,33
52.513292218934396,13.331805856734915,79.6,370,2,262.0,2.0,49101.0,3430149.0,244
52.51311441127267,13.330302077030916,119.4,408,2,262.0,2.0,49101.0,3430163.0,273
52.51372377509426,13.339558830287485,21.9,757,2,262.0,2.0,49101.0,3538707.0,514
52.512419883924956,13.319840878175066,22.5,255,2,262.0,2.0,49101.0,3556102.0,164
52.51242229136091,13.320331810858681,39.5,533,2,262.0,2.0,49101.0,3684372.0,351
