tower_lat,tower_lon,weighted_spread_m,n_localization_rows,operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,n_validation_rows
52.50099947841804,13.280247136158309,62.2,764,1,262.0,1.0,1492.0,26347520.0,482
52.51053872862373,13.29008389474727,41.5,864,1,262.0,1.0,1492.0,26353920.0,564
52.512970710611526,13.286584847950616,53.3,39,1,262.0,1.0,1492.0,26356992.0,29
52.51232802038712,13.287250851901353,99.9,1712,1,262.0,1.0,1492.0,26356993.0,1269
52.50315356272757,13.281641081663013,41.5,338,1,262.0,1.0,1492.0,26356994.0,210
52.512642707507325,13.286911193582265,32.5,129,1,262.0,1.0,1492.0,26356996.0,86
52.49022313343231,13.304567273124889,16.7,118,1,262.0,1.0,1492.0,26366722.0,82
52.50328158494405,13.279518623370778,48.4,107,1,262.0,1.0,1492.0,26370049.0,64
52.48888123977594,13.306865654836523,85.9,211,1,262.0,1.0,1492.0,26917120.0,145
52.49205157372376,13.304694372470523,95.4,3003,1,262.0,1.0,1492.0,26947072.0,2080
52.48961699459537,13.298201582522731,47.4,574,1,262.0,1.0,1492.0,26947073.0,415
52.49238641558207,13.293603818712047,178.6,1580,1,262.0,1.0,1492.0,26947074.0,1067
52.49525200969981,13.304981406827892,152.3,27,1,262.0,1.0,1492.0,26947081.0,21
52.48974644548737,13.30452740910757,20.1,56,1,262.0,1.0,1492.0,26961922.0,43
52.510032724898345,13.283296397536708,76.0,15,1,262.0,1.0,1492.0,28904449.0,6
52.494464696148434,13.28665957251804,21.9,282,1,262.0,1.0,1492.0,34210561.0,198
52.49753804650599,13.28283300318968,60.1,749,1,262.0,1.0,1492.0,34210562.0,593
52.495533982100966,13.284778582995035,102.0,124,1,262.0,1.0,1492.0,34210566.0,75
52.48842414446963,13.301982030968771,56.3,1975,1,262.0,1.0,1492.0,40782336.0,1383
52.506838987387184,13.283409159937975,146.2,1447,1,262.0,1.0,1492.0,40812800.0,1012
52.50791754799125,13.284253712805945,140.7,55,1,262.0,1.0,1492.0,40812802.0,43
52.509466069172746,13.281922732461943,43.1,68,1,262.0,1.0,1492.0,40812803.0,35
52.510762305888406,13.289083689840359,2.6,79,1,262.0,1.0,1492.0,42445056.0,46
52.49978659279393,13.320558169512793,26.4,589,1,262.0,1.0,1493.0,26351360.0,395
