operator,calibration_offset_dB,n_before,mae_before,rmse_before,n_after,mae_after,rmse_after
1,16.18,759,10.74770939480634,14.504107668889013,759,10.74770939480634,14.504107668889013
2,3.24,445,18.502056001812342,25.0918532118886,445,18.502056001812342,25.0918532118886
