ts_gps,cell_eci,rsrp_meas,snr_meas,rsrp_raw,rsrp_los,is_los,los_minus_tot,dist_tx_rx_m,dist_veh_tx_m,dist_veh_rx_m,veh_x,veh_y,tx_src
2021-06-22 15:26:44,26347520,-100.418125,2.3939999833703043,-57.869049072265625,-57.87052917480469,True,-0.0014801025390625,166.25716824843187,97.15210677717,183.7662329447816,-2850.0,-650.0,wcl
2021-06-22 17:56:50,26347520,-96.27875,2.777000002935529,-53.40682220458984,-53.40812683105469,True,-0.0013046264648437,96.80531289251084,97.15210677717,133.91673886414745,-2850.0,-650.0,wcl
2021-06-22 17:56:03,26347520,-99.28,1.9190000027418137,-55.96241760253906,-55.963356018066406,True,-0.0009384155273437,132.39579839911016,97.15210677717,159.6437242247745,-2850.0,-650.0,wcl
2021-06-22 17:57:10,26347520,-96.89375,3.068999996185303,-51.59101867675781,-51.591346740722656,True,-0.0003280639648437,76.74628651463306,97.15210677717,120.68461033340483,-2850.0,-650.0,wcl
2021-06-22 17:56:24,26347520,-93.398125,5.527000015377999,-55.05683135986328,-55.05712890625,True,-0.0002975463867187,118.63568464354644,97.15210677717,149.3613764951114,-2850.0,-650.0,wcl
2021-06-22 17:56:57,26347520,-92.77625,7.742000005245209,-52.317413330078125,-52.318267822265625,True,-0.0008544921875,84.32765588832602,97.15210677717,124.84547079559822,-2850.0,-650.0,wcl
2021-06-22 17:56:28,26347520,-89.68,10.090000028610229,-54.80956268310547,-54.81097412109375,True,-0.0014114379882812,115.12671831743484,97.15210677717,146.95019440439992,-2850.0,-650.0,wcl
2021-06-22 17:57:15,26347520,-94.600625,3.4019999952614306,-50.90167999267578,-50.90167999267578,True,0.0,70.0419175758692,97.15210677717,117.6228352181842,-2850.0,-650.0,wcl
2021-06-22 17:56:40,26347520,-93.77125,8.221999983787537,-54.63441467285156,-54.635772705078125,True,-0.0013580322265625,112.68533251733912,97.15210677717,145.23920741075338,-2850.0,-650.0,wcl
2021-06-22 17:57:31,26347520,-91.11375,9.323000028133391,-48.6160888671875,-48.61641693115234,True,-0.0003280639648437,50.658352392474654,97.15210677717,107.50467272416994,-2850.0,-650.0,wcl
2021-06-22 15:26:43,26347520,-97.8452380952381,4.034523813852242,-58.5543212890625,-58.55500030517578,True,-0.0006790161132812,180.2737607000366,97.15210677717,195.32335889020868,-2850.0,-650.0,wcl
2021-06-22 17:57:04,26347520,-95.99,3.058999979645014,-51.82157897949219,-51.82232666015625,True,-0.0007476806640625,79.09556719302337,97.15210677717,121.74507353830973,-2850.0,-650.0,wcl
2021-06-22 17:56:39,26347520,-94.231875,8.108000030517578,-54.63441467285156,-54.635772705078125,True,-0.0013580322265625,112.68533251733912,97.15210677717,145.23920741075338,-2850.0,-650.0,wcl
2021-06-22 17:56:17,26347520,-92.966875,8.767000007629395,-55.180694580078125,-55.18098449707031,True,-0.0002899169921875,120.43722760398995,97.15210677717,150.70836445021504,-2850.0,-650.0,wcl
2021-06-22 17:56:32,26347520,-91.88125,8.186000008583068,-54.741966247558594,-54.74334716796875,True,-0.0013809204101562,114.1788757693582,97.15210677717,146.16387072848568,-2850.0,-650.0,wcl
2021-06-22 17:57:29,26347520,-92.735,8.025000014305114,-48.86046600341797,-48.861083984375,True,-0.0006179809570312,52.55543792465184,97.15210677717,108.53263982314508,-2850.0,-650.0,wcl
2021-06-22 16:59:35,26347520,-96.31171875,-0.4625000149011612,-58.84663391113281,-58.84736633300781,True,-0.000732421875,186.59648627018856,159.2490246475587,303.3539903032944,-2850.0,-550.0,wcl
2021-06-22 17:58:07,26347520,-87.07625,17.285999965667724,-42.9561767578125,-42.95624542236328,True,-6.866455078125e-05,10.269925753982836,159.2490246475587,151.00587773340678,-2850.0,-550.0,wcl
2021-06-22 17:58:34,26347520,-89.115625,12.386999990940094,-46.34284210205078,-46.343017578125,True,-0.0001754760742187,34.48771641486621,159.2490246475587,127.0824946196534,-2850.0,-550.0,wcl
2021-06-22 17:58:30,26347520,-89.55125,13.092999968528748,-44.21398162841797,-44.214088439941406,True,-0.0001068115234375,20.34117737897342,159.2490246475587,139.06430582476295,-2850.0,-550.0,wcl
2021-06-22 17:58:14,26347520,-88.89875,16.814000062942505,-43.07057189941406,-43.07063293457031,True,-6.103515625e-05,11.400131525801775,159.2490246475587,149.1158732425062,-2850.0,-550.0,wcl
2021-06-22 10:43:01,26347520,-95.625,-0.9379310464036876,-51.89009094238281,-51.89086151123047,True,-0.0007705688476562,79.80306898349201,159.2490246475587,215.01811818966647,-2850.0,-550.0,wcl
2021-06-22 10:43:02,26347520,-94.90322580645162,0.3806451515805337,-50.12583923339844,-50.126220703125,True,-0.0003814697265625,63.01446466495263,159.2490246475587,202.02218487957492,-2850.0,-550.0,wcl
2021-06-22 17:57:47,26347520,-93.78,5.90199999332428,-46.42428588867188,-46.42447662353516,True,-0.0001907348632812,35.032810393026274,159.2490246475587,179.40072109793022,-2850.0,-550.0,wcl
2021-06-22 10:42:58,26347520,-92.93028846153848,2.3076922927911463,-55.78919982910156,-55.79010009765625,True,-0.0009002685546875,129.65873136078264,159.2490246475587,255.00820499611345,-2850.0,-550.0,wcl
2021-06-22 17:57:44,26347520,-95.089375,4.186999988555908,-47.22522735595703,-47.22559356689453,True,-0.0003662109375,40.50250768408832,159.2490246475587,184.04724779859708,-2850.0,-550.0,wcl
2021-06-22 17:59:05,26347520,-82.875,16.54699999809265,-51.470252990722656,-51.470252990722656,True,0.0,75.5360604861811,247.55195788188564,173.81983756224102,-2850.0,-450.0,wcl
2021-06-22 16:59:52,26347520,-88.93625,14.730000009536743,-44.43478393554688,-44.43489837646485,True,-0.0001144409179687,21.85650436674918,247.55195788188564,225.750660944562,-2850.0,-450.0,wcl
2021-06-22 17:58:45,26347520,-93.22625,6.80800000667572,-50.87956237792969,-50.87956237792969,True,0.0,69.83429096625977,247.55195788188564,179.3609587740018,-2850.0,-450.0,wcl
2021-06-22 12:01:41,26347520,-96.798125,0.0389999970793724,-58.29389953613281,-58.294898986816406,True,-0.0009994506835937,174.82031022442686,247.55195788188564,385.0945332135327,-2850.0,-450.0,wcl
2021-06-22 17:58:48,26347520,-88.29,12.015000019073486,-51.25766754150391,-51.25766754150391,True,0.0,73.4461372445742,247.55195788188564,175.84871177391244,-2850.0,-450.0,wcl
2021-06-22 17:58:55,26347520,-88.880625,12.097000045776367,-51.2740478515625,-51.2740478515625,True,0.0,73.60573363772153,247.55195788188564,175.73257162262323,-2850.0,-450.0,wcl
2021-06-22 15:26:57,26347520,-89.22339108910892,12.102970307416255,-45.126251220703125,-45.12638854980469,True,-0.0001373291015625,26.4641847814797,247.55195788188564,221.13721465877168,-2850.0,-450.0,wcl
2021-06-22 17:58:54,26347520,-89.470625,11.229000043869018,-51.2740478515625,-51.2740478515625,True,0.0,73.60573363772153,247.55195788188564,175.73257162262323,-2850.0,-450.0,wcl
2021-06-22 17:58:50,26347520,-88.82625,8.048999962806702,-51.27633666992188,-51.27633666992188,True,0.0,73.62799365794652,247.55195788188564,175.6824285717428,-2850.0,-450.0,wcl
2021-06-22 16:59:54,26347520,-90.745625,12.231999979019164,-45.44308471679688,-45.4432373046875,True,-0.000152587890625,28.54525745643056,247.55195788188564,219.28380446108272,-2850.0,-450.0,wcl
2021-06-22 12:01:40,26347520,-92.146875,4.315000010132789,-58.87504577636719,-58.87620544433594,True,-0.00115966796875,187.2316063647532,247.55195788188564,396.66598018495273,-2850.0,-450.0,wcl
2021-06-22 16:59:42,26347520,-95.009375,3.3369999799877403,-50.84226989746094,-50.84236907958984,True,-9.918212890625e-05,69.48610061722195,247.55195788188564,304.3675639830104,-2850.0,-450.0,wcl
2021-06-22 12:01:44,26347520,-94.5525,2.55800001218915,-56.359649658203125,-56.36009216308594,True,-0.0004425048828125,138.8634073627507,342.3502473361324,450.0210802471945,-2850.0,-350.0,wcl
2021-06-22 12:02:01,26347520,-102.110625,-6.192999989986419,-56.77915954589844,-56.780311584472656,True,-0.0011520385742187,146.02955774447705,342.3502473361324,215.5101331732149,-2850.0,-350.0,wcl
2021-06-22 12:01:57,26347520,-96.723125,0.0470000058412551,-55.18439483642578,-55.18439483642578,True,0.0,120.4871149386182,342.3502473361324,266.34006972836187,-2850.0,-350.0,wcl
2021-06-22 12:01:58,26347520,-98.55125,-1.7610000037401914,-55.66387176513672,-55.664794921875,True,-0.0009231567382812,127.71125509599727,342.3502473361324,251.8332937259373,-2850.0,-350.0,wcl
2021-06-22 12:01:55,26347520,-93.65375,2.817000012025237,-54.100379943847656,-54.100379943847656,True,0.0,105.50370081775114,342.3502473361324,295.56057215480945,-2850.0,-350.0,wcl
2021-06-22 12:03:02,26347520,-95.02875,-0.9649999943375588,-65.76660919189453,-65.76660919189453,True,0.0,417.7001814451581,735.4526305962441,329.9830213477299,-2850.0,50.0,wcl
2021-06-22 17:55:53,26347520,-95.250625,6.657000031471252,-58.67738342285156,-58.67808532714844,True,-0.000701904296875,182.9103153808846,204.99482577412465,156.43411330575498,-2750.0,-750.0,wcl
2021-06-22 17:55:56,26347520,-99.326875,2.8119999976456165,-57.82851409912109,-57.82908630371094,True,-0.0005722045898437,165.44241009709538,194.79373345700787,224.05979539348291,-2750.0,-650.0,wcl
2021-06-22 17:00:13,26347520,-94.745625,5.830000002533198,-53.68234252929688,-53.682899475097656,True,-0.0005569458007812,100.18181789690922,299.6465227464388,218.13359822401972,-2750.0,-450.0,wcl
